date,home_team,away_team,home_score,away_score,tournament,city,country,neutral
2013-01-09 00:00:00,Cape Verde,Nigeria,0,0,Friendly,Faro,Portugal,True
2013-01-09 00:00:00,Iraq,Kuwait,1,0,Gulf Cup,Isa Town,Bahrain,True
2013-01-09 00:00:00,Yemen,Saudi Arabia,0,2,Gulf Cup,Isa Town,Bahrain,True
2013-01-10 00:00:00,Gabon,Tunisia,1,1,Friendly,Abu Dhabi,United Arab Emirates,True
2013-01-10 00:00:00,Ghana,Egypt,3,0,Friendly,Abu Dhabi,United Arab Emirates,True
2013-01-10 00:00:00,Panama,Guatemala,3,0,Friendly,Panama City,Panama,False
2013-01-11 00:00:00,Bahrain,Qatar,1,0,Gulf Cup,Riffa,Bahrain,False
2013-01-11 00:00:00,Ethiopia,Tanzania,2,1,Friendly,Addis Ababa,Ethiopia,False
2013-01-11 00:00:00,United Arab Emirates,Oman,2,0,Gulf Cup,Isa Town,Bahrain,True
2013-01-12 00:00:00,Iraq,Yemen,2,0,Gulf Cup,Isa Town,Bahrain,True
2013-01-12 00:00:00,Kuwait,Saudi Arabia,1,0,Gulf Cup,Riffa,Bahrain,True
2013-01-12 00:00:00,Namibia,Morocco,1,2,Friendly,Johannesburg,South Africa,True
2013-01-12 00:00:00,South Africa,Algeria,0,0,Friendly,Johannesburg,South Africa,False
2013-01-12 00:00:00,Zambia,Norway,0,0,Friendly,Ndola,Zambia,False
2013-01-13 00:00:00,Angola,Botswana,2,0,Friendly,Johannesburg,South Africa,True
2013-01-13 00:00:00,Ghana,Tunisia,4,2,Friendly,Abu Dhabi,United Arab Emirates,True
2013-01-13 00:00:00,Panama,Guatemala,2,0,Friendly,Panama City,Panama,False
2013-01-13 00:00:00,Togo,Niger,2,1,Friendly,Lomé,Togo,False
2013-01-14 00:00:00,Ivory Coast,Egypt,4,2,Friendly,Abu Dhabi,United Arab Emirates,True
2013-01-15 00:00:00,Bahrain,Iraq,1,1,Gulf Cup,Riffa,Bahrain,False
2013-01-15 00:00:00,Lebanon,Gabon,0,0,Friendly,Sidon,Lebanon,False
2013-01-15 00:00:00,United Arab Emirates,Kuwait,1,0,Gulf Cup,Riffa,Bahrain,True
2013-01-17 00:00:00,Eswatini,Burkina Faso,0,3,Friendly,Nelspruit,South Africa,True
2013-01-18 00:00:00,Bahrain,Kuwait,1,6,Gulf Cup,Isa Town,Bahrain,False
2013-01-18 00:00:00,Costa Rica,Belize,1,0,UNCAF Cup,San José,Costa Rica,False
2013-01-18 00:00:00,Guatemala,Nicaragua,1,1,UNCAF Cup,San José,Costa Rica,True
2013-01-18 00:00:00,Honduras,El Salvador,1,1,UNCAF Cup,San José,Costa Rica,True
2013-01-18 00:00:00,United Arab Emirates,Iraq,2,1,Gulf Cup,Riffa,Bahrain,True
2013-01-19 00:00:00,Angola,Morocco,0,0,African Cup of Nations,Johannesburg,South Africa,True
2013-01-19 00:00:00,Chile,Haiti,3,0,Friendly,Concepción,Chile,False
2013-01-19 00:00:00,South Africa,Cape Verde,0,0,African Cup of Nations,Johannesburg,South Africa,False
2013-01-20 00:00:00,Belize,Guatemala,0,0,UNCAF Cup,San José,Costa Rica,True
2013-01-20 00:00:00,Costa Rica,Nicaragua,2,0,UNCAF Cup,San José,Costa Rica,False
2013-01-20 00:00:00,El Salvador,Panama,0,0,UNCAF Cup,San José,Costa Rica,True
2013-01-20 00:00:00,Ghana,DR Congo,2,2,African Cup of Nations,Port Elizabeth,South Africa,True
2013-01-20 00:00:00,Mali,Niger,1,0,African Cup of Nations,Port Elizabeth,South Africa,True
2013-01-21 00:00:00,Nigeria,Burkina Faso,1,1,African Cup of Nations,Nelspruit,South Africa,True
2013-01-21 00:00:00,Zambia,Ethiopia,1,1,African Cup of Nations,Nelspruit,South Africa,True
2013-01-22 00:00:00,Costa Rica,Guatemala,1,1,UNCAF Cup,San José,Costa Rica,False
2013-01-22 00:00:00,Ivory Coast,Togo,2,1,African Cup of Nations,Rustenburg,South Africa,True
2013-01-22 00:00:00,Nicaragua,Belize,1,2,UNCAF Cup,San José,Costa Rica,True
2013-01-22 00:00:00,Panama,Honduras,1,1,UNCAF Cup,San José,Costa Rica,True
2013-01-22 00:00:00,Tunisia,Algeria,1,0,African Cup of Nations,Rustenburg,South Africa,True
2013-01-23 00:00:00,Morocco,Cape Verde,1,1,African Cup of Nations,Durban,South Africa,True
2013-01-23 00:00:00,South Africa,Angola,2,0,African Cup of Nations,Durban,South Africa,False
2013-01-23 00:00:00,Sweden,North Korea,1,1,King's Cup,Chiang Mai,Thailand,True
2013-01-23 00:00:00,Thailand,Finland,1,3,King's Cup,Chiang Mai,Thailand,False
2013-01-24 00:00:00,Ghana,Mali,1,0,African Cup of Nations,Port Elizabeth,South Africa,True
2013-01-24 00:00:00,Niger,DR Congo,0,0,African Cup of Nations,Port Elizabeth,South Africa,True
2013-01-25 00:00:00,Burkina Faso,Ethiopia,4,0,African Cup of Nations,Nelspruit,South Africa,True
2013-01-25 00:00:00,Costa Rica,El Salvador,1,0,UNCAF Cup,San José,Costa Rica,False
2013-01-25 00:00:00,Guatemala,Panama,1,3,UNCAF Cup,San José,Costa Rica,True
2013-01-25 00:00:00,Honduras,Belize,1,0,UNCAF Cup,San José,Costa Rica,True
2013-01-25 00:00:00,Zambia,Nigeria,1,1,African Cup of Nations,Nelspruit,South Africa,True
2013-01-26 00:00:00,Algeria,Togo,0,2,African Cup of Nations,Rustenburg,South Africa,True
2013-01-26 00:00:00,Ivory Coast,Tunisia,3,0,African Cup of Nations,Rustenburg,South Africa,True
2013-01-26 00:00:00,Sweden,Finland,3,0,King's Cup,Chiang Mai,Thailand,True
2013-01-26 00:00:00,Thailand,North Korea,2,2,King's Cup,Chiang Mai,Thailand,False
2013-01-27 00:00:00,Cape Verde,Angola,2,1,African Cup of Nations,Port Elizabeth,South Africa,True
2013-01-27 00:00:00,Costa Rica,Honduras,1,0,UNCAF Cup,San José,Costa Rica,False
2013-01-27 00:00:00,El Salvador,Belize,1,0,UNCAF Cup,San José,Costa Rica,True
2013-01-27 00:00:00,South Africa,Morocco,2,2,African Cup of Nations,Durban,South Africa,False
2013-01-28 00:00:00,DR Congo,Mali,1,1,African Cup of Nations,Durban,South Africa,True
2013-01-28 00:00:00,Niger,Ghana,0,3,African Cup of Nations,Port Elizabeth,South Africa,True
2013-01-29 00:00:00,Burkina Faso,Zambia,0,0,African Cup of Nations,Nelspruit,South Africa,True
2013-01-29 00:00:00,Ethiopia,Nigeria,0,2,African Cup of Nations,Rustenburg,South Africa,True
2013-01-29 00:00:00,United States,Canada,0,0,Friendly,Houston,United States,False
2013-01-30 00:00:00,Algeria,Ivory Coast,2,2,African Cup of Nations,Rustenburg,South Africa,True
2013-01-30 00:00:00,Oman,China PR,1,0,Friendly,Muscat,Oman,False
2013-01-30 00:00:00,Togo,Tunisia,1,1,African Cup of Nations,Nelspruit,South Africa,True
2013-01-31 00:00:00,Jordan,Indonesia,5,0,Friendly,Amman,Jordan,False
2013-01-31 00:00:00,Qatar,Lebanon,1,0,Friendly,Doha,Qatar,False
2013-02-01 00:00:00,Uzbekistan,Azerbaijan,0,0,Friendly,Dubai,United Arab Emirates,True
2013-02-02 00:00:00,Ghana,Cape Verde,2,0,African Cup of Nations,Port Elizabeth,South Africa,True
2013-02-02 00:00:00,Romania,Poland,1,4,Friendly,Málaga,Spain,True
2013-02-02 00:00:00,South Africa,Mali,1,1,African Cup of Nations,Durban,South Africa,False
2013-02-03 00:00:00,Burkina Faso,Togo,1,0,African Cup of Nations,Nelspruit,South Africa,True
2013-02-03 00:00:00,Ivory Coast,Nigeria,1,2,African Cup of Nations,Rustenburg,South Africa,True
2013-02-05 00:00:00,Armenia,Luxembourg,1,1,Friendly,Valence,France,True
2013-02-06 00:00:00,Albania,Georgia,1,2,Friendly,Tirana,Albania,False
2013-02-06 00:00:00,Azerbaijan,Liechtenstein,1,0,Friendly,Dubai,United Arab Emirates,True
2013-02-06 00:00:00,Belgium,Slovakia,2,1,Friendly,Bruges,Belgium,False
2013-02-06 00:00:00,Burkina Faso,Ghana,1,1,African Cup of Nations,Nelspruit,South Africa,True
2013-02-06 00:00:00,Myanmar,Philippines,0,1,Friendly,Yangon,Myanmar,False
2013-02-06 00:00:00,Chile,Egypt,2,1,Friendly,Madrid,Spain,True
2013-02-06 00:00:00,Croatia,South Korea,4,0,Friendly,London,England,True
2013-02-06 00:00:00,Cyprus,Serbia,1,3,Friendly,Nicosia,Cyprus,False
2013-02-06 00:00:00,England,Brazil,2,1,Friendly,London,England,False
2013-02-06 00:00:00,France,Germany,1,2,Friendly,Saint-Denis,France,False
