date,home_team,away_team,home_score,away_score,tournament,city,country,neutral
1989-11-15 00:00:00,Albania,Poland,1,2,FIFA World Cup qualification,Tirana,Albania,False
1989-11-15 00:00:00,Austria,German DR,3,0,FIFA World Cup qualification,Vienna,Austria,False
1989-11-15 00:00:00,England,Italy,0,0,Friendly,London,England,False
1989-11-15 00:00:00,Germany,Wales,2,1,FIFA World Cup qualification,Cologne,Germany,False
1989-11-15 00:00:00,Greece,Bulgaria,1,0,FIFA World Cup qualification,Athens,Greece,False
1989-11-15 00:00:00,Malta,Republic of Ireland,0,2,FIFA World Cup qualification,Attard,Malta,False
1989-11-15 00:00:00,Netherlands,Finland,3,0,FIFA World Cup qualification,Rotterdam,Netherlands,False
1989-11-15 00:00:00,Portugal,Czechoslovakia,0,0,FIFA World Cup qualification,Lisbon,Portugal,False
1989-11-15 00:00:00,Romania,Denmark,3,1,FIFA World Cup qualification,Bucharest,Romania,False
1989-11-15 00:00:00,Russia,Turkey,2,0,FIFA World Cup qualification,Simferopol,Soviet Union,True
1989-11-15 00:00:00,Scotland,Norway,1,1,FIFA World Cup qualification,Glasgow,Scotland,False
1989-11-15 00:00:00,Spain,Hungary,4,0,FIFA World Cup qualification,Seville,Spain,False
1989-11-15 00:00:00,Switzerland,Luxembourg,2,1,FIFA World Cup qualification,St. Gallen,Switzerland,False
1989-11-17 00:00:00,Egypt,Algeria,1,0,FIFA World Cup qualification,Cairo,Egypt,False
1989-11-18 00:00:00,France,Cyprus,2,0,FIFA World Cup qualification,Toulouse,France,False
1989-11-19 00:00:00,Trinidad and Tobago,United States,0,1,CONCACAF Championship,Port of Spain,Trinidad and Tobago,False
1989-11-19 00:00:00,Tunisia,Cameroon,0,1,FIFA World Cup qualification,Tunis,Tunisia,False
1989-11-21 00:00:00,Senegal,Central African Republic,3,0,Friendly,Dakar,Senegal,False
1989-11-26 00:00:00,Ghana,Guinea,1,1,Friendly,Paynesville,Liberia,True
1989-11-28 00:00:00,Liberia,Guinea,2,0,Friendly,Paynesville,Liberia,False
1989-11-29 00:00:00,Liberia,Ghana,1,1,Friendly,Paynesville,Liberia,False
1989-12-01 00:00:00,Botswana,Zambia,2,1,Friendly,Gaborone,Botswana,False
1989-12-02 00:00:00,Central African Republic,Chad,1,1,UDEAC Cup,Bangui,Central African Republic,False
1989-12-02 00:00:00,Kenya,Uganda,2,1,CECAFA Cup,Nairobi,Kenya,False
1989-12-02 00:00:00,Malawi,Zanzibar,0,0,CECAFA Cup,Nairobi,Kenya,True
1989-12-03 00:00:00,Tanzania,Zimbabwe,0,3,CECAFA Cup,Nairobi,Kenya,True
1989-12-05 00:00:00,Congo,Gabon,0,2,UDEAC Cup,Bangui,Central African Republic,True
1989-12-05 00:00:00,Kenya,Tanzania,2,1,CECAFA Cup,Nairobi,Kenya,False
1989-12-06 00:00:00,Chad,Cameroon,0,1,UDEAC Cup,Bangui,Central African Republic,True
