date,home_team,away_team,home_score,away_score,tournament,city,country,neutral
2000-04-23 00:00:00,Zimbabwe,Central African Republic,3,1,FIFA World Cup qualification,Harare,Zimbabwe,False
2000-04-25 00:00:00,Hong Kong,China PR,0,1,Friendly,Victoria,Hong Kong,False
2000-04-26 00:00:00,Andorra,Belarus,2,0,Friendly,Sant Julià de Lòria,Andorra,False
2000-04-26 00:00:00,Armenia,Georgia,0,0,Friendly,Yerevan,Armenia,False
2000-04-26 00:00:00,Austria,Croatia,1,2,Friendly,Vienna,Austria,False
2000-04-26 00:00:00,Bolivia,Colombia,1,1,FIFA World Cup qualification,La Paz,Bolivia,False
2000-04-26 00:00:00,Brazil,Ecuador,3,2,FIFA World Cup qualification,São Paulo,Brazil,False
2000-04-26 00:00:00,Bulgaria,Ukraine,0,1,Friendly,Sofia,Bulgaria,False
2000-04-26 00:00:00,Chile,Peru,1,1,FIFA World Cup qualification,Santiago,Chile,False
2000-04-26 00:00:00,Czech Republic,Israel,4,1,Friendly,Prague,Czech Republic,False
2000-04-26 00:00:00,Denmark,Sweden,0,1,Friendly,Copenhagen,Denmark,False
2000-04-26 00:00:00,France,Slovenia,3,2,Friendly,Saint-Denis,France,False
2000-04-26 00:00:00,Germany,Switzerland,1,1,Friendly,Kaiserslautern,Germany,False
2000-04-26 00:00:00,Republic of Ireland,Greece,0,1,Friendly,Dublin,Republic of Ireland,False
2000-04-26 00:00:00,Italy,Portugal,2,0,Friendly,Reggio di Calabria,Italy,False
2000-04-26 00:00:00,South Korea,Japan,1,0,Friendly,Seoul,South Korea,False
2000-04-26 00:00:00,Liechtenstein,Faroe Islands,0,1,Friendly,Vaduz,Liechtenstein,False
2000-04-26 00:00:00,Lithuania,Latvia,2,1,Baltic Cup,Kaunas,Lithuania,False
2000-04-26 00:00:00,Luxembourg,Estonia,1,1,Friendly,Luxembourg,Luxembourg,False
2000-04-26 00:00:00,North Macedonia,Albania,1,0,Friendly,Prilep,North Macedonia,False
2000-04-26 00:00:00,Netherlands,Scotland,0,0,Friendly,Arnhem,Netherlands,False
2000-04-26 00:00:00,Northern Ireland,Hungary,0,1,Friendly,Belfast,Northern Ireland,False
2000-04-26 00:00:00,Norway,Belgium,0,2,Friendly,Oslo,Norway,False
2000-04-26 00:00:00,Paraguay,Uruguay,1,0,FIFA World Cup qualification,Asunción,Paraguay,False
2000-04-26 00:00:00,Poland,Finland,0,0,Friendly,Poznań,Poland,False
2000-04-26 00:00:00,Romania,Cyprus,2,0,Friendly,Constanţa,Romania,False
2000-04-26 00:00:00,Russia,United States,2,0,Friendly,Moscow,Russia,False
2000-04-26 00:00:00,San Marino,Moldova,0,1,Friendly,Serravalle,San Marino,False
2000-04-26 00:00:00,Venezuela,Argentina,0,4,FIFA World Cup qualification,Maracaibo,Venezuela,False
2000-04-29 00:00:00,Antigua and Barbuda,Dominica,3,2,Friendly,Road Town,British Virgin Islands,True
2000-04-29 00:00:00,British Virgin Islands,Sint Maarten,0,0,Friendly,Road Town,British Virgin Islands,False
2000-04-29 00:00:00,South Africa,Mauritius,3,0,COSAFA Cup,Rustenburg,South Africa,False
2000-04-30 00:00:00,British Virgin Islands,Antigua and Barbuda,1,1,Friendly,Road Town,British Virgin Islands,False
2000-04-30 00:00:00,Dominica,Sint Maarten,3,1,Friendly,Road Town,British Virgin Islands,True
2000-05-01 00:00:00,Jersey,Guernsey,1,0,Friendly,St. Helier,Jersey,False
2000-05-01 00:00:00,Maldives,Sri Lanka,1,1,Friendly,Malé,Maldives,False
2000-05-02 00:00:00,Bangladesh,India,1,1,Friendly,Malé,Maldives,True
2000-05-04 00:00:00,Cape Verde,Gambia,1,1,Amílcar Cabral Cup,Praia,Cape Verde,False
2000-05-04 00:00:00,Maldives,Bangladesh,1,1,Friendly,Malé,Maldives,False
2000-05-05 00:00:00,Guinea,Mali,3,1,Amílcar Cabral Cup,Praia,Cape Verde,True
2000-05-05 00:00:00,Guinea-Bissau,Mauritania,1,0,Amílcar Cabral Cup,Praia,Cape Verde,True
2000-05-05 00:00:00,India,Sri Lanka,0,1,Friendly,Malé,Maldives,True
2000-05-06 00:00:00,Cape Verde,Sierra Leone,1,0,Amílcar Cabral Cup,Praia,Cape Verde,False
2000-05-06 00:00:00,Gambia,Senegal,1,1,Amílcar Cabral Cup,Praia,Cape Verde,True
2000-05-07 00:00:00,Bangladesh,Sri Lanka,0,1,Friendly,Malé,Maldives,True
2000-05-07 00:00:00,Cuba,Barbados,1,1,FIFA World Cup qualification,Havana,Cuba,False
2000-05-07 00:00:00,El Salvador,Guatemala,1,1,FIFA World Cup qualification,San Salvador,El Salvador,False
2000-05-07 00:00:00,Guinea,Mauritania,1,1,Amílcar Cabral Cup,Praia,Cape Verde,True
2000-05-07 00:00:00,Honduras,Panama,3,1,FIFA World Cup qualification,Tegucigalpa,Honduras,False
2000-05-07 00:00:00,Mali,Guinea-Bissau,3,2,Amílcar Cabral Cup,Praia,Cape Verde,True
2000-05-07 00:00:00,Trinidad and Tobago,Haiti,3,1,FIFA World Cup qualification,Port of Spain,Trinidad and Tobago,False
2000-05-08 00:00:00,Cape Verde,Senegal,2,2,Amílcar Cabral Cup,Praia,Cape Verde,False
2000-05-08 00:00:00,Gambia,Sierra Leone,2,2,Amílcar Cabral Cup,Praia,Cape Verde,True
2000-05-08 00:00:00,Maldives,India,1,0,Friendly,Malé,Maldives,False
2000-05-09 00:00:00,Guinea,Guinea-Bissau,2,1,Amílcar Cabral Cup,Praia,Cape Verde,True
2000-05-09 00:00:00,Mali,Mauritania,2,2,Amílcar Cabral Cup,Praia,Cape Verde,True
2000-05-10 00:00:00,Maldives,Sri Lanka,1,1,Friendly,Malé,Maldives,False
2000-05-11 00:00:00,Cape Verde,Guinea,2,0,Amílcar Cabral Cup,Praia,Cape Verde,False
2000-05-11 00:00:00,Senegal,Mali,2,2,Amílcar Cabral Cup,Praia,Cape Verde,True
2000-05-13 00:00:00,Jordan,Lebanon,1,1,Friendly,Limassol,Cyprus,True
2000-05-14 00:00:00,Cape Verde,Senegal,1,0,Amílcar Cabral Cup,Praia,Cape Verde,False
2000-05-14 00:00:00,Guinea,Mali,2,0,Amílcar Cabral Cup,Praia,Cape Verde,True
2000-05-14 00:00:00,Jamaica,Panama,0,1,Friendly,Montego Bay,Jamaica,False
2000-05-14 00:00:00,Zimbabwe,Namibia,3,2,COSAFA Cup,Harare,Zimbabwe,False
2000-05-18 00:00:00,Thailand,Uzbekistan,2,0,Friendly,Bangkok,Thailand,False
2000-05-19 00:00:00,Guatemala,Belize,0,0,FIFA World Cup qualification,San Pedro Sula,Honduras,True
2000-05-19 00:00:00,Haiti,Trinidad and Tobago,1,1,FIFA World Cup qualification,Port-au-Prince,Haiti,False
2000-05-20 00:00:00,Malawi,Angola,0,0,COSAFA Cup,Blantyre,Malawi,False
2000-05-21 00:00:00,Barbados,Cuba,1,1,FIFA World Cup qualification,Bridgetown,Barbados,False
2000-05-21 00:00:00,Lebanon,Saudi Arabia,0,0,Friendly,Zahlé,Lebanon,False
2000-05-21 00:00:00,Panama,Nicaragua,4,0,FIFA World Cup qualification,Panama City,Panama,False
2000-05-23 00:00:00,Jordan,Kyrgyzstan,2,0,WAFF Championship,Amman,Jordan,False
2000-05-23 00:00:00,Lebanon,Iraq,1,2,WAFF Championship,Amman,Jordan,True
2000-05-23 00:00:00,Wales,Brazil,0,3,Friendly,Cardiff,Wales,False
2000-05-24 00:00:00,Iran,Kazakhstan,3,0,WAFF Championship,Amman,Jordan,True
2000-05-24 00:00:00,Slovakia,Saudi Arabia,1,1,Friendly,Nitra,Slovakia,False
2000-05-24 00:00:00,Syria,Palestine,1,0,WAFF Championship,Amman,Jordan,True
2000-05-25 00:00:00,China PR,Serbia,0,2,Friendly,Beijing,China PR,False
2000-05-25 00:00:00,Jordan,Iraq,0,0,WAFF Championship,Amman,Jordan,False
2000-05-25 00:00:00,Kyrgyzstan,Lebanon,0,2,WAFF Championship,Amman,Jordan,True
2000-05-26 00:00:00,Algeria,Burkina Faso,2,0,Friendly,Algiers,Algeria,False
2000-05-26 00:00:00,Kazakhstan,Syria,0,4,WAFF Championship,Amman,Jordan,True
2000-05-26 00:00:00,Palestine,Iran,1,1,WAFF Championship,Amman,Jordan,True
2000-05-27 00:00:00,Canada,Trinidad and Tobago,1,0,Friendly,Toronto,Canada,False
2000-05-27 00:00:00,Cuba,Haiti,0,1,Friendly,Havana,Cuba,False
2000-05-27 00:00:00,England,Brazil,1,1,Friendly,London,England,False
2000-05-27 00:00:00,Iraq,Kyrgyzstan,4,0,WAFF Championship,Amman,Jordan,True
2000-05-27 00:00:00,Jamaica,Colombia,0,3,Friendly,East Rutherford,United States,True
2000-05-27 00:00:00,Jordan,Lebanon,0,0,WAFF Championship,Amman,Jordan,False
2000-05-27 00:00:00,Netherlands,Romania,2,1,Friendly,Amsterdam,Netherlands,False
2000-05-27 00:00:00,Norway,Slovakia,2,0,Friendly,Oslo,Norway,False
2000-05-28 00:00:00,Croatia,France,0,2,Friendly,Zagreb,Croatia,False
2000-05-28 00:00:00,Iran,Syria,1,0,WAFF Championship,Amman,Jordan,True
2000-05-28 00:00:00,Kazakhstan,Palestine,3,2,WAFF Championship,Amman,Jordan,True
2000-05-28 00:00:00,South Korea,Serbia,0,0,Friendly,Seoul,South Korea,False
2000-05-28 00:00:00,Macau,Hong Kong,0,1,Friendly,Macau,Macau,False
2000-05-28 00:00:00,Malta,South Africa,0,1,Friendly,Attard,Malta,False
2000-05-29 00:00:00,Cuba,Haiti,1,1,Friendly,Havana,Cuba,False
2000-05-30 00:00:00,Canada,Honduras,2,1,Friendly,Winnipeg,Canada,False
2000-05-30 00:00:00,Republic of Ireland,Scotland,1,2,Friendly,Dublin,Republic of Ireland,False
2000-05-30 00:00:00,South Korea,Serbia,0,0,Friendly,Seongnam,South Korea,False
2000-05-31 00:00:00,England,Ukraine,2,0,Friendly,London,England,False
2000-05-31 00:00:00,Hungary,Saudi Arabia,2,2,Friendly,Győr,Hungary,False
2000-05-31 00:00:00,Iraq,Syria,0,0,WAFF Championship,Amman,Jordan,True
2000-05-31 00:00:00,Jordan,Iran,0,1,WAFF Championship,Amman,Jordan,False
2000-05-31 00:00:00,Russia,Slovakia,1,1,Friendly,Moscow,Russia,False
2000-05-31 00:00:00,Venezuela,Panama,3,1,Friendly,San Cristóbal,Venezuela,False
2000-06-01 00:00:00,Botswana,Mozambique,2,0,Friendly,Mbabane,Eswatini,True
2000-06-01 00:00:00,Eswatini,Lesotho,0,1,Friendly,Lobamba,Eswatini,False
