date,home_team,away_team,home_score,away_score,tournament,city,country,neutral
1976-10-02 00:00:00,New Caledonia,New Zealand,2,1,Friendly,Nouméa,New Caledonia,False
1976-10-03 00:00:00,United States,Mexico,0,0,CONCACAF Championship qualification,Los Angeles,United States,False
1976-10-06 00:00:00,Chile,Uruguay,0,0,Copa Juan Pinto Durán,Santiago,Chile,False
1976-10-06 00:00:00,Czechoslovakia,Romania,3,2,Friendly,Prague,Czechoslovakia,False
1976-10-06 00:00:00,Wales,Germany,0,2,Friendly,Cardiff,Wales,False
1976-10-09 00:00:00,Bulgaria,France,2,2,FIFA World Cup qualification,Sofia,Bulgaria,False
1976-10-09 00:00:00,Greece,Hungary,1,1,FIFA World Cup qualification,Piraeus,Greece,False
1976-10-09 00:00:00,Switzerland,Sweden,1,2,FIFA World Cup qualification,Basel,Switzerland,False
1976-10-09 00:00:00,Uganda,Burundi,2,0,Friendly,Kampala,Uganda,False
1976-10-10 00:00:00,Albania,Algeria,3,0,Friendly,Tirana,Albania,False
1976-10-10 00:00:00,Canada,Mexico,1,0,CONCACAF Championship qualification,Vancouver,Canada,False
1976-10-10 00:00:00,Ethiopia,Mauritius,3,0,Friendly,Addis Ababa,Ethiopia,False
1976-10-10 00:00:00,Ghana,Guinea,2,1,FIFA World Cup qualification,Accra,Ghana,False
1976-10-10 00:00:00,Spain,Yugoslavia,1,0,FIFA World Cup qualification,Seville,Spain,False
1976-10-11 00:00:00,Uganda,Burundi,1,0,Friendly,Kampala,Uganda,False
1976-10-12 00:00:00,Pakistan,Afghanistan,1,0,Friendly,Karachi,Pakistan,False
1976-10-12 00:00:00,Peru,Uruguay,0,0,Friendly,Lima,Peru,False
1976-10-13 00:00:00,Argentina,Chile,2,0,Copa Carlos Dittborn,Buenos Aires,Argentina,False
1976-10-13 00:00:00,Austria,Hungary,2,4,Friendly,Vienna,Austria,False
1976-10-13 00:00:00,Czechoslovakia,Scotland,2,0,FIFA World Cup qualification,Prague,Czechoslovakia,False
1976-10-13 00:00:00,England,Finland,2,1,FIFA World Cup qualification,London,England,False
1976-10-13 00:00:00,Netherlands,Northern Ireland,2,2,FIFA World Cup qualification,Rotterdam,Netherlands,False
1976-10-13 00:00:00,Turkey,Republic of Ireland,3,3,Friendly,Ankara,Turkey,False
1976-10-15 00:00:00,Colombia,Uruguay,1,2,Friendly,Bogotá,Colombia,False
1976-10-15 00:00:00,Mexico,United States,3,0,CONCACAF Championship qualification,Puebla,Mexico,False
1976-10-16 00:00:00,Luxembourg,Italy,1,4,FIFA World Cup qualification,Luxembourg,Luxembourg,False
1976-10-16 00:00:00,Portugal,Poland,0,2,FIFA World Cup qualification,Porto,Portugal,False
1976-10-16 00:00:00,Sierra Leone,Nigeria,0,0,FIFA World Cup qualification,Freetown,Sierra Leone,False
1976-10-17 00:00:00,Congo,Cameroon,2,2,FIFA World Cup qualification,Brazzaville,Congo,False
1976-10-17 00:00:00,Togo,Senegal,1,0,FIFA World Cup qualification,Lomé,Togo,False
1976-10-20 00:00:00,Ecuador,Uruguay,2,2,Friendly,Quito,Ecuador,False
1976-10-20 00:00:00,Indonesia,Australia,1,1,Friendly,Jakarta,Indonesia,False
1976-10-20 00:00:00,Iraq,Libya,1,0,Friendly,Baghdad,Iraq,False
1976-10-20 00:00:00,United States,Canada,2,0,CONCACAF Championship qualification,Seattle,United States,False
1976-10-22 00:00:00,Iraq,Libya,3,1,Friendly,Baghdad,Iraq,False
1976-10-22 00:00:00,Singapore,Australia,0,1,Friendly,Kallang,Singapore,False
1976-10-24 00:00:00,Hong Kong,Australia,0,2,Friendly,So Kon Po,Hong Kong,False
1976-10-24 00:00:00,Malawi,Mauritius,1,1,African Cup of Nations qualification,Lilongwe,Malawi,False
1976-10-24 00:00:00,Uganda,Ethiopia,4,1,Friendly,Kampala,Uganda,False
1976-10-27 00:00:00,Bulgaria,German DR,0,4,Friendly,Sliven,Bulgaria,False
1976-10-27 00:00:00,Denmark,Cyprus,5,0,FIFA World Cup qualification,Copenhagen,Denmark,False
1976-10-27 00:00:00,Mexico,Canada,0,0,CONCACAF Championship qualification,Toluca,Mexico,False
1976-10-28 00:00:00,Peru,Argentina,1,3,Copa Ramón Castilla,Lima,Peru,False
1976-10-29 00:00:00,Egypt,Ethiopia,3,0,FIFA World Cup qualification,Cairo,Egypt,False
1976-10-30 00:00:00,Nigeria,Sierra Leone,6,2,FIFA World Cup qualification,Lagos,Nigeria,False
1976-10-31 00:00:00,Cameroon,Congo,1,2,FIFA World Cup qualification,Yaoundé,Cameroon,False
1976-10-31 00:00:00,Guinea,Ghana,2,1,FIFA World Cup qualification,Conakry,Guinea,False
1976-10-31 00:00:00,Poland,Cyprus,5,0,FIFA World Cup qualification,Warsaw,Poland,False
1976-10-31 00:00:00,Senegal,Togo,1,1,FIFA World Cup qualification,Dakar,Senegal,False
1976-10-31 00:00:00,Turkey,Malta,4,0,FIFA World Cup qualification,İzmir,Turkey,False
1976-11-01 00:00:00,Algeria,Libya,2,0,Friendly,Algiers,Algeria,False
1976-11-03 00:00:00,Israel,Australia,1,1,Friendly,Ramat-Gan,Israel,False
1976-11-04 00:00:00,Tunisia,Libya,3,0,Friendly,Tunis,Tunisia,False
1976-11-05 00:00:00,Zanzibar,Zambia,0,3,CECAFA Cup,Zanzibar,Tanzania,False
1976-11-06 00:00:00,Somalia,Uganda,0,2,CECAFA Cup,Zanzibar,Tanzania,True
1976-11-06 00:00:00,Tanzania,Kenya,1,1,CECAFA Cup,Zanzibar,Tanzania,False
1976-11-07 00:00:00,Tanzania,Malawi,1,1,CECAFA Cup,Zanzibar,Tanzania,False
1976-11-08 00:00:00,Somalia,Zambia,2,4,CECAFA Cup,Zanzibar,Tanzania,True
1976-11-08 00:00:00,Zanzibar,Uganda,0,1,CECAFA Cup,Zanzibar,Tanzania,False
1976-11-09 00:00:00,Kenya,Malawi,2,2,CECAFA Cup,Zanzibar,Tanzania,True
