date,home_team,away_team,home_score,away_score,tournament,city,country,neutral
2002-06-09 00:00:00,Japan,Russia,1,0,FIFA World Cup,Yokohama,Japan,False
2002-06-09 00:00:00,Malawi,Botswana,1,0,Friendly,Blantyre,Malawi,False
2002-06-09 00:00:00,Mexico,Ecuador,2,1,FIFA World Cup,Rifu,Japan,True
2002-06-10 00:00:00,South Korea,United States,1,1,FIFA World Cup,Daegu,South Korea,False
2002-06-10 00:00:00,Portugal,Poland,4,0,FIFA World Cup,Jeonju,South Korea,True
2002-06-10 00:00:00,Tunisia,Belgium,1,1,FIFA World Cup,Ōita,Japan,True
2002-06-11 00:00:00,Cameroon,Germany,0,2,FIFA World Cup,Fukuroi,Japan,True
2002-06-11 00:00:00,Denmark,France,2,0,FIFA World Cup,Incheon,South Korea,True
2002-06-11 00:00:00,Saudi Arabia,Republic of Ireland,0,3,FIFA World Cup,Yokohama,Japan,True
2002-06-11 00:00:00,Senegal,Uruguay,3,3,FIFA World Cup,Suwon,South Korea,True
2002-06-12 00:00:00,Nigeria,England,0,0,FIFA World Cup,Osaka,Japan,True
2002-06-12 00:00:00,Slovenia,Paraguay,1,3,FIFA World Cup,Seogwipo,South Korea,True
2002-06-12 00:00:00,South Africa,Spain,2,3,FIFA World Cup,Daejeon,South Korea,True
2002-06-12 00:00:00,Sweden,Argentina,1,1,FIFA World Cup,Rifu,Japan,True
2002-06-13 00:00:00,Costa Rica,Brazil,2,5,FIFA World Cup,Suwon,South Korea,True
2002-06-13 00:00:00,Ecuador,Croatia,1,0,FIFA World Cup,Yokohama,Japan,True
2002-06-13 00:00:00,Mexico,Italy,1,1,FIFA World Cup,Ōita,Japan,True
2002-06-13 00:00:00,Turkey,China PR,3,0,FIFA World Cup,Seoul,South Korea,True
2002-06-14 00:00:00,Belgium,Russia,3,2,FIFA World Cup,Fukuroi,Japan,True
2002-06-14 00:00:00,Japan,Tunisia,2,0,FIFA World Cup,Osaka,Japan,False
2002-06-14 00:00:00,South Korea,Portugal,1,0,FIFA World Cup,Incheon,South Korea,False
2002-06-14 00:00:00,Poland,United States,3,1,FIFA World Cup,Daejeon,South Korea,True
2002-06-15 00:00:00,Denmark,England,0,3,FIFA World Cup,Niigata,Japan,True
2002-06-15 00:00:00,Germany,Paraguay,1,0,FIFA World Cup,Seogwipo,South Korea,True
2002-06-16 00:00:00,Spain,Republic of Ireland,1,1,FIFA World Cup,Suwon,South Korea,True
2002-06-16 00:00:00,Sweden,Senegal,1,2,FIFA World Cup,Ōita,Japan,True
2002-06-17 00:00:00,Brazil,Belgium,2,0,FIFA World Cup,Kobe,Japan,True
2002-06-17 00:00:00,Mexico,United States,0,2,FIFA World Cup,Jeonju,South Korea,True
2002-06-18 00:00:00,Japan,Turkey,0,1,FIFA World Cup,Rifu,Japan,False
2002-06-18 00:00:00,South Korea,Italy,2,1,FIFA World Cup,Daejeon,South Korea,False
2002-06-21 00:00:00,England,Brazil,1,2,FIFA World Cup,Fukuroi,Japan,True
2002-06-21 00:00:00,Germany,United States,1,0,FIFA World Cup,Ulsan,South Korea,True
2002-06-22 00:00:00,Grenada,British Virgin Islands,5,0,Friendly,St. George's,Grenada,False
2002-06-22 00:00:00,South Korea,Spain,0,0,FIFA World Cup,Gwangju,South Korea,False
2002-06-22 00:00:00,Senegal,Turkey,0,1,FIFA World Cup,Osaka,Japan,True
2002-06-23 00:00:00,Saint Martin,Anguilla,1,0,Friendly,Marigot,Saint Martin,False
2002-06-25 00:00:00,South Korea,Germany,0,1,FIFA World Cup,Seoul,South Korea,False
2002-06-25 00:00:00,Mozambique,Angola,1,1,Friendly,Maputo,Mozambique,False
2002-06-26 00:00:00,Brazil,Turkey,1,0,FIFA World Cup,Saitama,Japan,True
2002-06-29 00:00:00,South Korea,Turkey,2,3,FIFA World Cup,Daegu,South Korea,False
2002-06-30 00:00:00,Bhutan,Montserrat,4,0,Friendly,Thimphu,Bhutan,False
2002-06-30 00:00:00,Germany,Brazil,0,2,FIFA World Cup,Yokohama,Japan,True
2002-07-03 00:00:00,Estonia,Azerbaijan,0,0,Friendly,Kuressaare,Estonia,False
2002-07-05 00:00:00,New Zealand,Tahiti,4,0,Oceania Nations Cup,North Shore,New Zealand,False
2002-07-05 00:00:00,Papua New Guinea,Solomon Islands,0,0,Oceania Nations Cup,North Shore,New Zealand,True
2002-07-06 00:00:00,Australia,Vanuatu,2,0,Oceania Nations Cup,Auckland,New Zealand,True
2002-07-06 00:00:00,British Virgin Islands,Anguilla,2,1,Friendly,Road Town,British Virgin Islands,False
2002-07-06 00:00:00,Fiji,New Caledonia,2,1,Oceania Nations Cup,Auckland,New Zealand,True
2002-07-06 00:00:00,Grenada,Saint Martin,8,3,Gold Cup qualification,St. George's,Grenada,False
2002-07-06 00:00:00,Latvia,Azerbaijan,0,0,Friendly,Riga,Latvia,False
2002-07-06 00:00:00,Zambia,Mozambique,3,0,COSAFA Cup,Lusaka,Zambia,False
2002-07-07 00:00:00,Guadeloupe,Puerto Rico,4,0,Gold Cup qualification,Baie-Mahault,Guadeloupe,False
2002-07-07 00:00:00,Kazakhstan,Estonia,1,1,Friendly,Almaty,Kazakhstan,False
2002-07-07 00:00:00,Malawi,Zimbabwe,3,2,Friendly,Blantyre,Malawi,False
2002-07-07 00:00:00,New Zealand,Papua New Guinea,9,1,Oceania Nations Cup,North Shore,New Zealand,False
2002-07-07 00:00:00,Solomon Islands,Tahiti,2,3,Oceania Nations Cup,North Shore,New Zealand,True
2002-07-08 00:00:00,Australia,New Caledonia,11,0,Oceania Nations Cup,Auckland,New Zealand,True
2002-07-08 00:00:00,Fiji,Vanuatu,0,1,Oceania Nations Cup,Auckland,New Zealand,True
2002-07-08 00:00:00,Malawi,Zimbabwe,2,2,Friendly,Lilongwe,Malawi,False
2002-07-09 00:00:00,New Zealand,Solomon Islands,6,1,Oceania Nations Cup,North Shore,New Zealand,False
2002-07-09 00:00:00,Papua New Guinea,Tahiti,1,3,Oceania Nations Cup,North Shore,New Zealand,True
2002-07-10 00:00:00,Australia,Fiji,8,0,Oceania Nations Cup,Auckland,New Zealand,True
2002-07-10 00:00:00,New Caledonia,Vanuatu,0,1,Oceania Nations Cup,Auckland,New Zealand,True
2002-07-12 00:00:00,Australia,Tahiti,2,1,Oceania Nations Cup,Auckland,New Zealand,True
2002-07-12 00:00:00,New Zealand,Vanuatu,3,0,Oceania Nations Cup,Auckland,New Zealand,False
2002-07-14 00:00:00,British Virgin Islands,Saint Lucia,1,3,Gold Cup qualification,Road Town,British Virgin Islands,False
2002-07-14 00:00:00,New Zealand,Australia,1,0,Oceania Nations Cup,Auckland,New Zealand,False
2002-07-14 00:00:00,Tahiti,Vanuatu,1,0,Oceania Nations Cup,Auckland,New Zealand,True
2002-07-16 00:00:00,Malaysia,Singapore,1,2,Friendly,Kuantan,Malaysia,False
2002-07-19 00:00:00,Iraq,Syria,2,0,Friendly,Baghdad,Iraq,False
2002-07-21 00:00:00,Puerto Rico,Guadeloupe,0,2,Gold Cup qualification,San Juan,Puerto Rico,False
2002-07-21 00:00:00,South Africa,Madagascar,0,0,COSAFA Cup,Port Elizabeth,South Africa,False
2002-07-22 00:00:00,Iraq,Syria,2,1,Friendly,Baghdad,Iraq,False
2002-07-25 00:00:00,Barbados,Trinidad and Tobago,0,0,SKN Football Festival,Basseterre,Saint Kitts and Nevis,True
2002-07-25 00:00:00,Saint Kitts and Nevis,Taiwan,3,0,SKN Football Festival,Basseterre,Saint Kitts and Nevis,False
2002-07-26 00:00:00,Ethiopia,Uganda,0,0,Friendly,Khartoum,Sudan,True
2002-07-26 00:00:00,Sudan,Chad,2,0,Friendly,Khartoum,Sudan,False
2002-07-27 00:00:00,Saint Kitts and Nevis,Barbados,3,0,SKN Football Festival,Basseterre,Saint Kitts and Nevis,False
2002-07-28 00:00:00,Aruba,Suriname,0,2,Gold Cup qualification,Oranjestad,Aruba,False
2002-07-28 00:00:00,Chad,Ethiopia,3,2,Friendly,Khartoum,Sudan,True
2002-07-28 00:00:00,Guyana,Curaçao,2,1,Gold Cup qualification,Georgetown,Guyana,False
2002-07-28 00:00:00,Saint Kitts and Nevis,Trinidad and Tobago,2,1,SKN Football Festival,Basseterre,Saint Kitts and Nevis,False
2002-07-28 00:00:00,Saint Lucia,British Virgin Islands,8,1,Gold Cup qualification,Vieux Fort,Saint Lucia,False
2002-07-28 00:00:00,Sudan,Uganda,2,1,Friendly,Khartoum,Sudan,False
2002-07-30 00:00:00,Chad,Uganda,0,2,Friendly,Khartoum,Sudan,True
2002-07-30 00:00:00,Grenada,Taiwan,5,2,Friendly,St. George's,Grenada,False
2002-07-30 00:00:00,Sudan,Ethiopia,3,0,Friendly,Khartoum,Sudan,False
2002-08-01 00:00:00,Eswatini,Mauritius,0,1,Friendly,Mbabane,Eswatini,False
2002-08-02 00:00:00,Grenada,Jamaica,0,1,Friendly,St. George's,Grenada,False
2002-08-03 00:00:00,Kenya,Uganda,0,0,Friendly,Kisumu,Kenya,False
2002-08-03 00:00:00,Eswatini,Mauritius,0,0,Friendly,Big Bend,Eswatini,False
2002-08-04 00:00:00,Saint Martin,Grenada,1,7,Gold Cup qualification,Marigot,Saint Martin,False
2002-08-08 00:00:00,Egypt,Ethiopia,4,1,Friendly,Alexandria,Egypt,False
2002-08-10 00:00:00,Malawi,Zambia,1,0,COSAFA Cup,Blantyre,Malawi,False
2002-08-11 00:00:00,Curaçao,Guyana,1,0,Gold Cup qualification,Willemstad,Netherlands Antilles,False
2002-08-11 00:00:00,Saint Lucia,Jamaica,1,3,Friendly,Vieux Fort,Saint Lucia,False
2002-08-11 00:00:00,Suriname,Aruba,6,0,Gold Cup qualification,Paramaribo,Suriname,False
2002-08-16 00:00:00,Dominican Republic,United States Virgin Islands,6,1,Gold Cup qualification,San Cristóbal,Dominican Republic,False
2002-08-17 00:00:00,Jordan,Kenya,1,1,Friendly,Amman,Jordan,False
2002-08-18 00:00:00,Dominican Republic,United States Virgin Islands,5,1,Gold Cup qualification,San Cristóbal,Dominican Republic,False
