date,home_team,away_team,home_score,away_score,tournament,city,country,neutral
1995-04-22 00:00:00,Belgium,United States,1,0,Friendly,Brussels,Belgium,False
1995-04-22 00:00:00,Chile,Iceland,1,1,Friendly,Temuco,Chile,False
1995-04-22 00:00:00,Congo,Sierra Leone,0,2,African Cup of Nations qualification,Brazzaville,Congo,False
1995-04-22 00:00:00,Senegal,Togo,5,1,African Cup of Nations qualification,Dakar,Senegal,False
1995-04-22 00:00:00,Tanzania,Egypt,1,2,African Cup of Nations qualification,Dar es Salaam,Tanzania,False
1995-04-23 00:00:00,Angola,Guinea,3,0,African Cup of Nations qualification,Luanda,Angola,False
1995-04-23 00:00:00,Botswana,Mozambique,0,3,African Cup of Nations qualification,Gaborone,Botswana,False
1995-04-23 00:00:00,DR Congo,Cameroon,2,1,African Cup of Nations qualification,Kinshasa,Zaïre,False
1995-04-23 00:00:00,Ethiopia,Uganda,0,0,African Cup of Nations qualification,Addis Ababa,Ethiopia,False
1995-04-23 00:00:00,Ghana,Niger,1,0,African Cup of Nations qualification,Accra,Ghana,False
1995-04-23 00:00:00,Liberia,Tunisia,1,0,African Cup of Nations qualification,Monrovia,Liberia,False
1995-04-23 00:00:00,Mali,Namibia,2,0,African Cup of Nations qualification,Bamako,Mali,False
1995-04-23 00:00:00,Zimbabwe,Malawi,1,1,African Cup of Nations qualification,Harare,Zimbabwe,False
1995-04-24 00:00:00,Sudan,Algeria,2,0,African Cup of Nations qualification,Khartoum,Sudan,False
1995-04-25 00:00:00,Poland,Israel,4,3,UEFA Euro qualification,Zabrze,Poland,False
1995-04-26 00:00:00,Armenia,Spain,0,2,UEFA Euro qualification,Yerevan,Armenia,False
1995-04-26 00:00:00,Austria,Liechtenstein,7,0,UEFA Euro qualification,Salzburg,Austria,False
1995-04-26 00:00:00,Azerbaijan,Romania,1,4,UEFA Euro qualification,Trabzon,Turkey,True
1995-04-26 00:00:00,Belarus,Malta,1,1,UEFA Euro qualification,Minsk,Belarus,False
1995-04-26 00:00:00,Belgium,Cyprus,2,0,UEFA Euro qualification,Brussels,Belgium,False
1995-04-26 00:00:00,Croatia,Slovenia,2,0,UEFA Euro qualification,Zagreb,Croatia,False
