date,home_team,away_team,home_score,away_score,tournament,city,country,neutral
1971-09-08 00:00:00,Norway,France,1,3,UEFA Euro qualification,Oslo,Norway,False
1971-09-09 00:00:00,Fiji,New Caledonia,1,5,South Pacific Games,Papeete,French Polynesia,True
1971-09-09 00:00:00,Tahiti,Papua New Guinea,2,2,South Pacific Games,Papeete,French Polynesia,False
1971-09-09 00:00:00,El Salvador,Nicaragua,3,2,CONCACAF Championship qualification,San Salvador,El Salvador,False
1971-09-10 00:00:00,South Korea,Iran,2,0,Friendly,Seoul,South Korea,False
1971-09-11 00:00:00,Cook Islands,Papua New Guinea,1,16,South Pacific Games,Papeete,French Polynesia,True
1971-09-11 00:00:00,Fiji,Vanuatu,4,6,South Pacific Games,Papeete,French Polynesia,True
1971-09-12 00:00:00,South Korea,Iran,0,2,Friendly,Seoul,South Korea,False
1971-09-12 00:00:00,Guatemala,Honduras,1,1,CONCACAF Championship qualification,Guatemala,Guatemala,False
1971-09-13 00:00:00,New Caledonia,Vanuatu,0,0,South Pacific Games,Papeete,French Polynesia,True
1971-09-13 00:00:00,Tahiti,Cook Islands,30,0,South Pacific Games,Papeete,French Polynesia,False
1971-09-15 00:00:00,Cook Islands,Fiji,1,15,South Pacific Games,Papeete,French Polynesia,True
1971-09-15 00:00:00,El Salvador,Nicaragua,1,0,CONCACAF Championship qualification,San Salvador,El Salvador,False
1971-09-15 00:00:00,Suriname,Guyana,4,1,CONCACAF Championship qualification,Paramaribo,Suriname,False
1971-09-16 00:00:00,New Caledonia,Papua New Guinea,4,0,South Pacific Games,Papeete,French Polynesia,True
1971-09-16 00:00:00,Tahiti,Vanuatu,1,2,South Pacific Games,Papeete,French Polynesia,False
1971-09-18 00:00:00,German DR,Mexico,1,1,Friendly,Leipzig,German DR,False
1971-09-18 00:00:00,Russia,India,5,0,Friendly,Moscow,Soviet Union,False
1971-09-18 00:00:00,Tahiti,Papua New Guinea,8,1,South Pacific Games,Papeete,French Polynesia,False
1971-09-18 00:00:00,New Caledonia,Vanuatu,7,1,South Pacific Games,Papeete,French Polynesia,True
1971-09-21 00:00:00,Guyana,Suriname,2,3,CONCACAF Championship qualification,Georgetown,Guyana,False
1971-09-22 00:00:00,Finland,Romania,0,4,UEFA Euro qualification,Helsinki,Finland,False
1971-09-22 00:00:00,Poland,Turkey,5,1,UEFA Euro qualification,Cracow,Poland,False
1971-09-22 00:00:00,Russia,Northern Ireland,1,0,UEFA Euro qualification,Moscow,Soviet Union,False
1971-09-22 00:00:00,Yugoslavia,Mexico,4,0,Friendly,Sarajevo,Yugoslavia,False
1971-09-25 00:00:00,German DR,Czechoslovakia,1,1,Friendly,Berlin,German DR,False
1971-09-25 00:00:00,Hungary,Bulgaria,2,0,UEFA Euro qualification,Budapest,Hungary,False
1971-09-25 00:00:00,Italy,Mexico,2,0,Friendly,Genoa,Italy,False
1971-09-25 00:00:00,Kenya,Tanzania,1,1,Friendly,Nairobi,Kenya,False
1971-09-26 00:00:00,Norway,Denmark,1,4,Nordic Championship,Oslo,Norway,False
1971-09-26 00:00:00,Switzerland,Turkey,4,0,Friendly,Zürich,Switzerland,False
1971-09-26 00:00:00,Uganda,Zanzibar,3,1,Friendly,Nairobi,Kenya,True
1971-09-29 00:00:00,Uganda,Tanzania,0,0,Friendly,Nairobi,Kenya,True
1971-09-30 00:00:00,Greece,Mexico,0,1,Friendly,Salonica,Greece,False
1971-09-30 00:00:00,Kenya,Zanzibar,4,0,Friendly,Nairobi,Kenya,False
1971-10-01 00:00:00,Jamaica,Cuba,0,1,CONCACAF Championship qualification,Kingston,Jamaica,False
1971-10-02 00:00:00,Tanzania,Zanzibar,1,1,Friendly,Nairobi,Kenya,True
1971-10-03 00:00:00,Kenya,Uganda,2,0,Friendly,Nairobi,Kenya,False
1971-10-04 00:00:00,Cuba,Jamaica,0,0,CONCACAF Championship qualification,Havana,Cuba,False
1971-10-06 00:00:00,Bermuda,Mexico,0,2,CONCACAF Championship qualification,Hamilton,Bermuda,False
1971-10-06 00:00:00,Mexico,Bermuda,4,0,CONCACAF Championship qualification,Mexico City,Mexico,False
1971-10-08 00:00:00,Lesotho,Malawi,0,0,Friendly,Maseru,Lesotho,False
1971-10-09 00:00:00,France,Hungary,0,2,UEFA Euro qualification,Colombes,France,False
1971-10-09 00:00:00,Italy,Sweden,3,0,UEFA Euro qualification,Milan,Italy,False
1971-10-10 00:00:00,Austria,Republic of Ireland,6,0,UEFA Euro qualification,Linz,Austria,False
1971-10-10 00:00:00,Lesotho,Malawi,0,2,Friendly,Maseru,Lesotho,False
1971-10-10 00:00:00,Netherlands,German DR,3,2,UEFA Euro qualification,Rotterdam,Netherlands,False
1971-10-10 00:00:00,Poland,Germany,1,3,UEFA Euro qualification,Warsaw,Poland,False
1971-10-13 00:00:00,Northern Ireland,Russia,1,1,UEFA Euro qualification,Belfast,Northern Ireland,False
1971-10-13 00:00:00,Scotland,Portugal,2,1,UEFA Euro qualification,Glasgow,Scotland,False
1971-10-13 00:00:00,Switzerland,England,2,3,UEFA Euro qualification,Basel,Switzerland,False
1971-10-13 00:00:00,Wales,Finland,3,0,UEFA Euro qualification,Swansea,Wales,False
1971-10-16 00:00:00,Yugoslavia,German DR,0,0,UEFA Euro qualification,Belgrade,Yugoslavia,False
1971-10-17 00:00:00,Zambia,Kenya,0,2,Friendly,Ndola,Zambia,False
1971-10-20 00:00:00,Zambia,Kenya,3,1,Friendly,Kitwe,Zambia,False
1971-10-23 00:00:00,Zambia,Kenya,0,1,Friendly,Lusaka,Zambia,False
1971-10-27 00:00:00,Czechoslovakia,Wales,1,0,UEFA Euro qualification,Prague,Czechoslovakia,False
1971-10-27 00:00:00,Hungary,Norway,4,0,UEFA Euro qualification,Budapest,Hungary,False
1971-10-27 00:00:00,Spain,Russia,0,0,UEFA Euro qualification,Seville,Spain,False
1971-10-27 00:00:00,Uruguay,Chile,3,0,Copa Juan Pinto Durán,Montevideo,Uruguay,False
1971-10-27 00:00:00,Yugoslavia,Luxembourg,0,0,UEFA Euro qualification,Titograd,Yugoslavia,False
1971-10-28 00:00:00,Singapore,Thailand,0,1,Vietnam Independence Cup,Saigon,Vietnam Republic,True
1971-10-28 00:00:00,Vietnam Republic,Malaysia,0,1,Vietnam Independence Cup,Saigon,Vietnam Republic,False
1971-10-30 00:00:00,Malaysia,Singapore,1,1,Vietnam Independence Cup,Saigon,Vietnam Republic,True
1971-10-30 00:00:00,Vietnam Republic,Thailand,3,0,Vietnam Independence Cup,Saigon,Vietnam Republic,False
1971-10-31 00:00:00,Martinique,Haiti,2,2,Friendly,Fort-de-France,Martinique,False
1971-10-31 00:00:00,Singapore,Thailand,3,1,Vietnam Independence Cup,Saigon,Vietnam Republic,True
1971-10-31 00:00:00,Vietnam Republic,Malaysia,1,1,Vietnam Independence Cup,Saigon,Vietnam Republic,False
1971-11-03 00:00:00,Chile,Uruguay,5,0,Copa Juan Pinto Durán,Santiago,Chile,False
1971-11-07 00:00:00,Belgium,Luxembourg,1,0,Friendly,Verviers,Belgium,False
1971-11-07 00:00:00,Thailand,Singapore,2,0,King's Cup,Bangkok,Thailand,False
1971-11-08 00:00:00,South Korea,Malaysia,2,2,King's Cup,Bangkok,Thailand,True
1971-11-09 00:00:00,Singapore,Vietnam Republic,4,5,King's Cup,Bangkok,Thailand,True
1971-11-10 00:00:00,England,Switzerland,1,1,UEFA Euro qualification,London,England,False
1971-11-10 00:00:00,France,Bulgaria,2,1,UEFA Euro qualification,Nantes,France,False
1971-11-10 00:00:00,Indonesia,Malaysia,2,0,King's Cup,Bangkok,Thailand,True
1971-11-10 00:00:00,Scotland,Belgium,1,0,UEFA Euro qualification,Aberdeen,Scotland,False
1971-11-11 00:00:00,Australia,Israel,2,2,Friendly,Brisbane,Australia,False
1971-11-11 00:00:00,Thailand,Vietnam Republic,0,1,King's Cup,Bangkok,Thailand,False
1971-11-12 00:00:00,Indonesia,South Korea,0,0,King's Cup,Bangkok,Thailand,True
1971-11-14 00:00:00,Albania,Turkey,3,0,UEFA Euro qualification,Tirana,Albania,False
1971-11-14 00:00:00,Australia,Israel,1,0,Friendly,Sydney,Australia,False
1971-11-14 00:00:00,Guinea,Tanzania,3,2,Friendly,Conakry,Guinea,False
1971-11-14 00:00:00,South Korea,Vietnam Republic,1,1,King's Cup,Bangkok,Thailand,True
1971-11-14 00:00:00,Malta,Hungary,0,2,FIFA World Cup qualification,Gżira,Malta,False
1971-11-14 00:00:00,Romania,Czechoslovakia,2,1,UEFA Euro qualification,Bucharest,Romania,False
1971-11-14 00:00:00,Thailand,Indonesia,1,0,King's Cup,Bangkok,Thailand,False
1971-11-16 00:00:00,Thailand,South Korea,0,1,King's Cup,Bangkok,Thailand,False
1971-11-17 00:00:00,Bulgaria,Greece,2,2,Friendly,Sofia,Bulgaria,False
1971-11-17 00:00:00,Germany,Poland,0,0,UEFA Euro qualification,Hamburg,Germany,False
1971-11-17 00:00:00,Netherlands,Luxembourg,8,0,UEFA Euro qualification,Eindhoven,Netherlands,False
1971-11-19 00:00:00,Iraq,Kuwait,3,1,Friendly,Baghdad,Iraq,False
1971-11-20 00:00:00,Italy,Austria,2,2,UEFA Euro qualification,Rome,Italy,False
1971-11-20 00:00:00,Cuba,Costa Rica,0,3,CONCACAF Championship,Port of Spain,Trinidad and Tobago,True
1971-11-21 00:00:00,Australia,Israel,1,3,Friendly,Melbourne,Australia,False
1971-11-21 00:00:00,Haiti,Mexico,0,0,CONCACAF Championship,San Fernando,Trinidad and Tobago,True
1971-11-21 00:00:00,Trinidad and Tobago,Honduras,1,1,CONCACAF Championship,San Fernando,Trinidad and Tobago,False
1971-11-21 00:00:00,Portugal,Belgium,1,1,UEFA Euro qualification,Lisbon,Portugal,False
1971-11-23 00:00:00,Cuba,Honduras,3,1,CONCACAF Championship,Port of Spain,Trinidad and Tobago,True
1971-11-24 00:00:00,Costa Rica,Haiti,0,0,CONCACAF Championship,Port of Spain,Trinidad and Tobago,True
1971-11-24 00:00:00,Libya,Algeria,0,0,Friendly,Tripoli,Libya,False
1971-11-24 00:00:00,Romania,Wales,2,0,UEFA Euro qualification,Bucharest,Romania,False
