date,home_team,away_team,home_score,away_score,tournament,city,country,neutral
1961-09-28 00:00:00,France,Finland,5,1,FIFA World Cup qualification,Paris,France,False
1961-09-30 00:00:00,Uganda,Zanzibar,2,1,Friendly,Mombasa,Kenya,True
1961-10-01 00:00:00,Kenya,Tanzania,0,0,Friendly,Mombasa,Kenya,False
1961-10-03 00:00:00,Tanzania,Uganda,3,1,Friendly,Mombasa,Kenya,True
1961-10-04 00:00:00,Belgium,Sweden,0,2,FIFA World Cup qualification,Brussels,Belgium,False
1961-10-04 00:00:00,Kenya,Zanzibar,10,0,Friendly,Mombasa,Kenya,False
1961-10-06 00:00:00,Tanzania,Zanzibar,3,0,Friendly,Mombasa,Kenya,True
1961-10-07 00:00:00,Kenya,Uganda,2,1,Friendly,Mombasa,Kenya,False
1961-10-07 00:00:00,Northern Ireland,Scotland,1,6,British Championship,Belfast,Northern Ireland,False
1961-10-08 00:00:00,Austria,Hungary,2,1,Friendly,Vienna,Austria,False
1961-10-08 00:00:00,Republic of Ireland,Czechoslovakia,1,3,FIFA World Cup qualification,Dublin,Republic of Ireland,False
1961-10-08 00:00:00,Luxembourg,Portugal,4,2,FIFA World Cup qualification,Luxembourg,Luxembourg,False
1961-10-08 00:00:00,Poland,Germany,0,2,Friendly,Warsaw,Poland,False
1961-10-08 00:00:00,Romania,Turkey,4,0,Friendly,Bucharest,Romania,False
1961-10-08 00:00:00,Yugoslavia,South Korea,5,1,FIFA World Cup qualification,Belgrade,Yugoslavia,False
1961-10-12 00:00:00,Argentina,Paraguay,5,1,Friendly,Avellaneda,Argentina,False
1961-10-12 00:00:00,Chile,Uruguay,2,3,Friendly,Santiago,Chile,False
1961-10-14 00:00:00,Wales,England,1,1,British Championship,Cardiff,Wales,False
1961-10-15 00:00:00,Denmark,Finland,9,1,Nordic Championship,Copenhagen,Denmark,False
1961-10-15 00:00:00,Israel,Italy,2,4,FIFA World Cup qualification,Ramat-Gan,Israel,False
1961-10-17 00:00:00,Northern Ireland,Greece,2,0,FIFA World Cup qualification,Belfast,Northern Ireland,False
1961-10-18 00:00:00,Belgium,France,3,0,Friendly,Brussels,Belgium,False
1961-10-18 00:00:00,Turkey,South Korea,1,0,Friendly,Ankara,Turkey,False
1961-10-21 00:00:00,Vietnam Republic,Indonesia,4,1,Vietnam Independence Cup,Saigon,Vietnam Republic,False
1961-10-22 00:00:00,Germany,Greece,2,1,FIFA World Cup qualification,Augsburg,Germany,False
1961-10-22 00:00:00,Hungary,Netherlands,3,3,FIFA World Cup qualification,Budapest,Hungary,False
1961-10-22 00:00:00,Israel,South Korea,1,1,Friendly,Ramat-Gan,Israel,False
1961-10-22 00:00:00,Poland,German DR,3,1,Friendly,Wrocław,Poland,False
1961-10-22 00:00:00,Sweden,Norway,2,0,Nordic Championship,Gothenburg,Sweden,False
1961-10-23 00:00:00,Indonesia,Malaysia,1,3,Vietnam Independence Cup,Saigon,Vietnam Republic,True
1961-10-25 00:00:00,England,Portugal,2,0,FIFA World Cup qualification,London,England,False
1961-10-26 00:00:00,Vietnam Republic,Malaysia,1,0,Vietnam Independence Cup,Saigon,Vietnam Republic,False
1961-10-28 00:00:00,Myanmar,South Korea,3,0,Friendly,Yangon,Burma,False
1961-10-29 00:00:00,Bulgaria,Finland,3,1,FIFA World Cup qualification,Sofia,Bulgaria,False
1961-10-29 00:00:00,Czechoslovakia,Republic of Ireland,7,1,FIFA World Cup qualification,Prague,Czechoslovakia,False
1961-10-29 00:00:00,Mexico,Paraguay,1,0,FIFA World Cup qualification,Mexico City,Mexico,False
1961-10-29 00:00:00,Switzerland,Sweden,3,2,FIFA World Cup qualification,Berne,Switzerland,False
1961-10-29 00:00:00,Turkey,Norway,2,1,FIFA World Cup qualification,Istanbul,Turkey,False
1961-10-29 00:00:00,Uganda,Kenya,2,0,African Cup of Nations qualification,Kampala,Uganda,False
1961-11-04 00:00:00,Italy,Israel,6,0,FIFA World Cup qualification,Turin,Italy,False
1961-11-05 00:00:00,Malta,Norway,1,1,Friendly,Gżira,Malta,False
1961-11-05 00:00:00,Paraguay,Mexico,0,0,FIFA World Cup qualification,Asunción,Paraguay,False
1961-11-05 00:00:00,Poland,Denmark,5,0,Friendly,Chorzów,Poland,False
1961-11-08 00:00:00,Scotland,Wales,2,0,British Championship,Glasgow,Scotland,False
1961-11-12 00:00:00,Bulgaria,France,1,0,FIFA World Cup qualification,Sofia,Bulgaria,False
1961-11-12 00:00:00,Morocco,Spain,0,1,FIFA World Cup qualification,Casablanca,Morocco,False
1961-11-12 00:00:00,Netherlands,Belgium,0,4,Friendly,Amsterdam,Netherlands,False
1961-11-12 00:00:00,Switzerland,Sweden,2,1,FIFA World Cup qualification,Berlin,Germany,True
1961-11-12 00:00:00,Turkey,Russia,1,2,FIFA World Cup qualification,Istanbul,Turkey,False
1961-11-18 00:00:00,Argentina,Russia,1,2,Friendly,Buenos Aires,Argentina,False
1961-11-19 00:00:00,Yugoslavia,Austria,2,1,Friendly,Zagreb,Yugoslavia,False
1961-11-22 00:00:00,Chile,Russia,0,1,Friendly,Santiago,Chile,False
1961-11-22 00:00:00,England,Northern Ireland,1,1,British Championship,London,England,False
1961-11-23 00:00:00,Spain,Morocco,3,2,FIFA World Cup qualification,Madrid,Spain,False
1961-11-25 00:00:00,Nigeria,Tunisia,2,1,African Cup of Nations qualification,Lagos,Nigeria,False
