date,home_team,away_team,home_score,away_score,tournament,city,country,neutral
2007-12-07 00:00:00,Guinea-Bissau,Cape Verde,1,1,Amílcar Cabral Cup,Bissau,Guinea-Bissau,False
2007-12-08 00:00:00,Tanzania,Kenya,2,1,CECAFA Cup,Dar es Salaam,Tanzania,False
2007-12-09 00:00:00,Rwanda,Eritrea,2,1,CECAFA Cup,Dar es Salaam,Tanzania,True
2007-12-09 00:00:00,Sudan,Zanzibar,2,2,CECAFA Cup,Arusha,Tanzania,True
2007-12-09 00:00:00,Uganda,Djibouti,7,0,CECAFA Cup,Dar es Salaam,Tanzania,True
2007-12-10 00:00:00,Somalia,Burundi,0,3,CECAFA Cup,Dar es Salaam,Tanzania,True
2007-12-11 00:00:00,Djibouti,Eritrea,2,3,CECAFA Cup,Dar es Salaam,Tanzania,True
2007-12-11 00:00:00,Oman,Jordan,0,3,Friendly,Muscat,Oman,False
2007-12-11 00:00:00,Rwanda,Uganda,0,2,CECAFA Cup,Dar es Salaam,Tanzania,True
2007-12-12 00:00:00,Kenya,Burundi,0,1,CECAFA Cup,Dar es Salaam,Tanzania,True
2007-12-12 00:00:00,Tanzania,Somalia,1,0,CECAFA Cup,Dar es Salaam,Tanzania,False
2007-12-13 00:00:00,Djibouti,Rwanda,0,9,CECAFA Cup,Dar es Salaam,Tanzania,True
2007-12-13 00:00:00,Zanzibar,Ethiopia,3,1,CECAFA Cup,Arusha,Tanzania,True
2007-12-14 00:00:00,Bermuda,Saint Kitts and Nevis,1,2,Friendly,Hamilton,Bermuda,False
2007-12-14 00:00:00,Eritrea,Uganda,3,2,CECAFA Cup,Dar es Salaam,Tanzania,True
2007-12-14 00:00:00,Kenya,Somalia,2,0,CECAFA Cup,Dar es Salaam,Tanzania,True
2007-12-15 00:00:00,Ethiopia,Sudan,0,0,CECAFA Cup,Arusha,Tanzania,True
2007-12-15 00:00:00,Tanzania,Burundi,0,0,CECAFA Cup,Dar es Salaam,Tanzania,False
2007-12-16 00:00:00,Bermuda,Saint Kitts and Nevis,4,2,Friendly,Hamilton,Bermuda,False
2007-12-16 00:00:00,Oman,Tajikistan,4,2,Friendly,Muscat,Oman,False
2007-12-17 00:00:00,Burundi,Eritrea,2,1,CECAFA Cup,Dar es Salaam,Tanzania,True
2007-12-17 00:00:00,Tanzania,Sudan,1,2,CECAFA Cup,Dar es Salaam,Tanzania,False
2007-12-18 00:00:00,Uganda,Kenya,1,1,CECAFA Cup,Dar es Salaam,Tanzania,True
2007-12-18 00:00:00,Zanzibar,Rwanda,0,0,CECAFA Cup,Dar es Salaam,Tanzania,True
2007-12-19 00:00:00,Burundi,Sudan,1,2,CECAFA Cup,Dar es Salaam,Tanzania,True
2007-12-20 00:00:00,Uganda,Rwanda,0,1,CECAFA Cup,Dar es Salaam,Tanzania,True
2007-12-22 00:00:00,Burundi,Uganda,0,2,CECAFA Cup,Dar es Salaam,Tanzania,True
2007-12-22 00:00:00,Sudan,Rwanda,2,2,CECAFA Cup,Dar es Salaam,Tanzania,True
2007-12-22 00:00:00,Thailand,Uzbekistan,3,2,King's Cup,Bangkok,Thailand,False
2007-12-23 00:00:00,Gambia,Sierra Leone,2,1,Friendly,Bakau,Gambia,False
2007-12-24 00:00:00,North Korea,Uzbekistan,2,2,King's Cup,Bangkok,Thailand,True
2007-12-26 00:00:00,Thailand,North Korea,1,0,King's Cup,Bangkok,Thailand,False
2007-12-27 00:00:00,Galicia,Cameroon,1,1,Friendly,Vigo,Spain,False
2007-12-27 00:00:00,Andalusia,Zambia,4,1,Friendly,Jerez,Spain,False
2007-12-29 00:00:00,Basque Country,Catalonia,1,1,Friendly,Bilbao,Spain,False
2007-12-29 00:00:00,Canary Islands,Angola,2,0,Friendly,Las Palmas,Spain,False
2008-01-02 00:00:00,Kuwait,Lebanon,3,2,Friendly,Salmiya,Kuwait,False
2008-01-05 00:00:00,Egypt,Namibia,3,0,Friendly,Aswan,Egypt,False
2008-01-06 00:00:00,Tunisia,Zambia,1,2,Friendly,Radès,Tunisia,False
2008-01-08 00:00:00,Tunisia,Zambia,1,0,Friendly,Radès,Tunisia,False
2008-01-09 00:00:00,Nigeria,Sudan,2,0,Friendly,Estepona,Spain,True
2008-01-10 00:00:00,Egypt,Mali,1,0,Friendly,Abu Dhabi,United Arab Emirates,True
2008-01-10 00:00:00,Qatar,Iran,0,0,Friendly,Doha,Qatar,False
2008-01-10 00:00:00,United Arab Emirates,China PR,0,0,Friendly,Dubai,United Arab Emirates,False
2008-01-11 00:00:00,Guinea,Sudan,6,0,Friendly,Estepona,Spain,True
2008-01-12 00:00:00,Kuwait,Ivory Coast,0,2,Friendly,Kuwait City,Kuwait,False
2008-01-12 00:00:00,Morocco,Zambia,2,0,Friendly,Fès,Morocco,False
2008-01-12 00:00:00,Senegal,Namibia,3,1,Friendly,Dakar,Senegal,False
2008-01-13 00:00:00,Angola,Egypt,3,3,Friendly,Alverca do Ribatejo,Portugal,True
2008-01-13 00:00:00,Barbados,Antigua and Barbuda,3,2,Friendly,Black Rock,Barbados,False
2008-01-13 00:00:00,Costa Rica,Sweden,0,1,Friendly,San José,Costa Rica,False
2008-01-13 00:00:00,South Africa,Mozambique,2,0,Friendly,Durban,South Africa,False
2008-01-13 00:00:00,Syria,Qatar,0,0,Friendly,Damascus,Syria,False
