date,home_team,away_team,home_score,away_score,tournament,city,country,neutral
1992-02-19 00:00:00,Scotland,Northern Ireland,1,0,Friendly,Glasgow,Scotland,False
1992-02-19 00:00:00,Spain,Russia,1,1,Friendly,Valencia,Spain,False
1992-02-22 00:00:00,Tunisia,Nigeria,1,1,Friendly,Tunis,Tunisia,False
1992-02-26 00:00:00,Brazil,United States,3,0,Friendly,Fortaleza,Brazil,False
1992-02-26 00:00:00,Tunisia,Belgium,2,1,Friendly,Tunis,Tunisia,False
1992-03-02 00:00:00,United Arab Emirates,Iceland,0,1,Friendly,Dubai,United Arab Emirates,False
1992-03-03 00:00:00,Israel,Cyprus,2,1,Friendly,Bat Yam,Israel,False
1992-03-04 00:00:00,Costa Rica,El Salvador,2,0,Friendly,San José,Costa Rica,False
1992-03-04 00:00:00,Saint Vincent and the Grenadines,Curaçao,2,2,CFU Caribbean Cup qualification,Bridgetown,Barbados,True
1992-03-05 00:00:00,Dominica,Guadeloupe,0,0,CFU Caribbean Cup qualification,Castries,Saint Lucia,True
1992-03-06 00:00:00,Barbados,Curaçao,1,0,CFU Caribbean Cup qualification,Bridgetown,Barbados,False
1992-03-08 00:00:00,Grenada,Curaçao,0,1,CFU Caribbean Cup qualification,Bridgetown,Barbados,True
1992-03-08 00:00:00,Mexico,Russia,4,0,Friendly,Mexico City,Mexico,False
1992-03-11 00:00:00,Mexico,Russia,1,1,Friendly,Ciudad Madero,Mexico,False
1992-03-11 00:00:00,Spain,United States,2,0,Friendly,Valladolid,Spain,False
1992-03-17 00:00:00,El Salvador,Honduras,1,1,Friendly,Los Angeles,United States,True
1992-03-18 00:00:00,Morocco,United States,3,1,Friendly,Casablanca,Morocco,False
1992-03-21 00:00:00,Dominican Republic,Puerto Rico,1,2,FIFA World Cup qualification,Santo Domingo,Dominican Republic,False
1992-03-22 00:00:00,Saint Lucia,Saint Vincent and the Grenadines,1,0,FIFA World Cup qualification,Castries,Saint Lucia,False
1992-03-25 00:00:00,Cyprus,Greece,1,3,Friendly,Limassol,Cyprus,False
1992-03-25 00:00:00,Czechoslovakia,England,2,2,Friendly,Prague,Czechoslovakia,False
1992-03-25 00:00:00,France,Belgium,3,3,Friendly,Paris,France,False
1992-03-25 00:00:00,Hungary,Austria,2,1,Friendly,Budapest,Hungary,False
1992-03-25 00:00:00,Republic of Ireland,Switzerland,2,1,Friendly,Dublin,Republic of Ireland,False
1992-03-25 00:00:00,Italy,Germany,1,0,Friendly,Turin,Italy,False
1992-03-25 00:00:00,Luxembourg,Turkey,2,3,Friendly,Luxembourg,Luxembourg,False
1992-03-25 00:00:00,Netherlands,Yugoslavia,2,0,Friendly,Amsterdam,Netherlands,False
1992-03-25 00:00:00,Scotland,Finland,1,1,Friendly,Glasgow,Scotland,False
1992-03-28 00:00:00,Puerto Rico,Dominican Republic,1,1,FIFA World Cup qualification,San Juan,Puerto Rico,False
1992-03-29 00:00:00,Saint Vincent and the Grenadines,Saint Lucia,3,1,FIFA World Cup qualification,Kingstown,Saint Vincent and the Grenadines,False
1992-04-01 00:00:00,Cayman Islands,Martinique,0,7,CFU Caribbean Cup qualification,Philipsburg,Sint Maarten,True
1992-04-02 00:00:00,Canada,China PR,5,2,Friendly,Victoria,Canada,False
1992-04-03 00:00:00,Sint Maarten,Cayman Islands,4,2,CFU Caribbean Cup qualification,Philipsburg,Sint Maarten,False
1992-04-04 00:00:00,United States,China PR,5,0,Friendly,Palo Alto,United States,False
1992-04-05 00:00:00,Sint Maarten,Martinique,1,1,CFU Caribbean Cup qualification,Philipsburg,Sint Maarten,False
1992-04-05 00:00:00,Togo,Ghana,1,0,Friendly,Lomé,Togo,False
1992-04-08 00:00:00,Israel,Iceland,2,2,Friendly,Ramat-Gan,Israel,False
1992-04-08 00:00:00,Romania,Latvia,2,0,Friendly,Bucharest,Romania,False
1992-04-08 00:00:00,Turkey,Denmark,2,1,Friendly,Ankara,Turkey,False
1992-04-12 00:00:00,Jamaica,Bermuda,0,0,Friendly,Kingston,Jamaica,False
1992-04-14 00:00:00,Austria,Lithuania,4,0,Friendly,Vienna,Austria,False
1992-04-15 00:00:00,Antigua and Barbuda,Montserrat,5,0,CFU Caribbean Cup qualification,Basseterre,Saint Kitts and Nevis,True
1992-04-15 00:00:00,Brazil,Finland,3,1,Friendly,Cuiabá,Brazil,False
1992-04-15 00:00:00,Saint Kitts and Nevis,British Virgin Islands,4,0,CFU Caribbean Cup qualification,Basseterre,Saint Kitts and Nevis,False
1992-04-17 00:00:00,Antigua and Barbuda,British Virgin Islands,2,0,CFU Caribbean Cup qualification,Basseterre,Saint Kitts and Nevis,True
1992-04-17 00:00:00,Saint Kitts and Nevis,Montserrat,10,0,CFU Caribbean Cup qualification,Basseterre,Saint Kitts and Nevis,False
1992-04-19 00:00:00,Barbados,Trinidad and Tobago,1,2,FIFA World Cup qualification,Bridgetown,Barbados,False
1992-04-19 00:00:00,Curaçao,Antigua and Barbuda,1,1,FIFA World Cup qualification,Willemstad,Netherlands Antilles,True
1992-04-19 00:00:00,Singapore,Malaysia,1,1,AFC Asian Cup qualification,Singapore,Singapore,False
1992-04-20 00:00:00,China PR,Indonesia,2,0,AFC Asian Cup qualification,Singapore,Singapore,True
1992-04-22 00:00:00,Belgium,Cyprus,1,0,FIFA World Cup qualification,Brussels,Belgium,False
1992-04-22 00:00:00,Czechoslovakia,Germany,1,1,Friendly,Prague,Czechoslovakia,False
1992-04-22 00:00:00,Singapore,Indonesia,1,2,AFC Asian Cup qualification,Singapore,Singapore,False
