date,home_team,away_team,home_score,away_score,tournament,city,country,neutral
2015-03-30 00:00:00,Indonesia,Myanmar,2,1,Friendly,Sidoarjo,Indonesia,False
2015-03-30 00:00:00,Jamaica,Cuba,3,0,Friendly,Montego Bay,Jamaica,False
2015-03-30 00:00:00,Kuwait,Colombia,1,3,Friendly,Abu Dhabi,United Arab Emirates,True
2015-03-30 00:00:00,North Macedonia,Australia,0,0,Friendly,Skopje,North Macedonia,False
2015-03-30 00:00:00,Oman,Algeria,1,4,Friendly,Doha,Qatar,True
2015-03-30 00:00:00,Qatar,Slovenia,1,0,Friendly,Doha,Qatar,False
2015-03-30 00:00:00,Saudi Arabia,Jordan,2,1,Friendly,Dammam,Saudi Arabia,False
2015-03-30 00:00:00,Thailand,Cameroon,2,3,Friendly,Nonthaburi,Thailand,False
2015-03-31 00:00:00,Austria,Bosnia and Herzegovina,1,1,Friendly,Vienna,Austria,False
2015-03-31 00:00:00,China PR,Tunisia,1,1,Friendly,Nanjing,China PR,False
2015-03-31 00:00:00,Estonia,Iceland,1,1,Friendly,Tallinn,Estonia,False
2015-03-31 00:00:00,Ghana,Mali,1,1,Friendly,Paris,France,True
2015-03-31 00:00:00,Iraq,DR Congo,1,0,Friendly,Sharjah,United Arab Emirates,True
2015-03-31 00:00:00,Israel,Belgium,0,1,UEFA Euro qualification,Jerusalem,Israel,False
2015-03-31 00:00:00,Italy,England,1,1,Friendly,Turin,Italy,False
2015-03-31 00:00:00,Japan,Uzbekistan,5,1,Friendly,Chōfu,Japan,False
2015-03-31 00:00:00,South Korea,New Zealand,1,0,Friendly,Seoul,South Korea,False
2015-03-31 00:00:00,Liechtenstein,San Marino,1,0,Friendly,Eschen,Liechtenstein,False
2015-03-31 00:00:00,Luxembourg,Turkey,1,2,Friendly,Luxembourg,Luxembourg,False
2015-03-31 00:00:00,Mauritania,Niger,2,0,Friendly,Nouakchott,Mauritania,False
2015-03-31 00:00:00,Montserrat,Curaçao,2,2,FIFA World Cup qualification,Lookout,Montserrat,False
2015-03-31 00:00:00,Netherlands,Spain,2,0,Friendly,Amsterdam,Netherlands,False
2015-03-31 00:00:00,Panama,Costa Rica,2,1,Friendly,Panama City,Panama,False
2015-03-31 00:00:00,Peru,Venezuela,0,1,Friendly,Fort Lauderdale,United States,True
2015-03-31 00:00:00,Portugal,Cape Verde,0,2,Friendly,Estoril,Portugal,False
2015-03-31 00:00:00,Russia,Kazakhstan,0,0,Friendly,Khimki,Russia,False
2015-03-31 00:00:00,Singapore,Guam,2,2,Friendly,Kallang,Singapore,False
2015-03-31 00:00:00,Slovakia,Czech Republic,1,0,Friendly,Žilina,Slovakia,False
2015-03-31 00:00:00,Sweden,Iran,3,1,Friendly,Solna,Sweden,False
2015-03-31 00:00:00,Switzerland,United States,1,1,Friendly,Zürich,Switzerland,False
2015-03-31 00:00:00,Tajikistan,Syria,2,3,Friendly,Dushanbe,Tajikistan,False
2015-03-31 00:00:00,Ukraine,Latvia,1,1,Friendly,Lviv,Ukraine,False
2015-04-15 00:00:00,United States,Mexico,2,0,Friendly,San Antonio,United States,False
2015-05-10 00:00:00,Barbados,Saint Kitts and Nevis,1,3,Friendly,Bridgetown,Barbados,False
2015-05-10 00:00:00,Zambia,Malawi,2,0,Friendly,Lusaka,Zambia,False
2015-05-12 00:00:00,Kazakhstan,Burkina Faso,0,0,Friendly,Almaty,Kazakhstan,False
2015-05-13 00:00:00,Dominican Republic,Cayman Islands,6,0,Friendly,Santiago de los Caballeros,Dominican Republic,False
2015-05-14 00:00:00,Grenada,Dominica,1,2,Windward Islands Tournament,Vieux Fort,Saint Lucia,True
2015-05-14 00:00:00,Lesotho,South Africa,0,0,Friendly,Maseru,Lesotho,False
2015-05-14 00:00:00,Saint Lucia,Saint Vincent and the Grenadines,1,2,Windward Islands Tournament,Vieux Fort,Saint Lucia,False
2015-05-16 00:00:00,Lesotho,South Africa,1,1,Friendly,Maseru,Lesotho,False
2015-05-16 00:00:00,Saint Lucia,Grenada,0,2,Windward Islands Tournament,Vieux Fort,Saint Lucia,False
2015-05-17 00:00:00,Namibia,Seychelles,0,0,COSAFA Cup,Moruleng-Saulspoort,South Africa,True
2015-05-17 00:00:00,Vietnam,North Korea,1,1,Friendly,Hanoi,Vietnam,False
2015-05-17 00:00:00,Zimbabwe,Mauritius,2,0,COSAFA Cup,Moruleng-Saulspoort,South Africa,True
2015-05-18 00:00:00,Lesotho,Madagascar,1,2,COSAFA Cup,Phokeng,South Africa,True
2015-05-18 00:00:00,Tanzania,Eswatini,0,1,COSAFA Cup,Phokeng,South Africa,True
2015-05-19 00:00:00,Namibia,Mauritius,2,0,COSAFA Cup,Moruleng-Saulspoort,South Africa,True
2015-05-19 00:00:00,Seychelles,Zimbabwe,0,1,COSAFA Cup,Moruleng-Saulspoort,South Africa,True
2015-05-20 00:00:00,Lesotho,Eswatini,0,2,COSAFA Cup,Phokeng,South Africa,True
2015-05-20 00:00:00,Madagascar,Tanzania,2,0,COSAFA Cup,Phokeng,South Africa,True
2015-05-20 00:00:00,Thailand,North Korea,0,1,Friendly,Bangkok,Thailand,False
2015-05-21 00:00:00,Namibia,Zimbabwe,4,1,COSAFA Cup,Moruleng-Saulspoort,South Africa,True
2015-05-21 00:00:00,Seychelles,Mauritius,0,1,COSAFA Cup,Phokeng,South Africa,True
2015-05-22 00:00:00,Lesotho,Tanzania,1,0,COSAFA Cup,Moruleng-Saulspoort,South Africa,True
2015-05-22 00:00:00,Madagascar,Eswatini,1,1,COSAFA Cup,Phokeng,South Africa,True
2015-05-24 00:00:00,Lebanon,Syria,2,2,Friendly,Sidon,Lebanon,False
2015-05-24 00:00:00,South Africa,Botswana,0,0,COSAFA Cup,Moruleng-Saulspoort,South Africa,False
2015-05-24 00:00:00,Thailand,Vietnam,1,0,FIFA World Cup qualification,Bangkok,Thailand,False
2015-05-24 00:00:00,Zambia,Namibia,0,0,COSAFA Cup,Moruleng-Saulspoort,South Africa,True
2015-05-25 00:00:00,Ghana,Madagascar,1,2,COSAFA Cup,Phokeng,South Africa,True
2015-05-25 00:00:00,Mozambique,Malawi,2,2,COSAFA Cup,Phokeng,South Africa,True
2015-05-27 00:00:00,South Africa,Malawi,0,0,COSAFA Cup,Moruleng-Saulspoort,South Africa,False
2015-05-27 00:00:00,Zambia,Ghana,3,0,COSAFA Cup,Moruleng-Saulspoort,South Africa,True
2015-05-28 00:00:00,Botswana,Mozambique,1,2,COSAFA Cup,Moruleng-Saulspoort,South Africa,True
2015-05-28 00:00:00,Namibia,Madagascar,3,2,COSAFA Cup,Moruleng-Saulspoort,South Africa,True
2015-05-29 00:00:00,Laos,Afghanistan,0,2,Friendly,Vientiane,Laos,False
2015-05-29 00:00:00,Zambia,Malawi,0,1,COSAFA Cup,Phokeng,South Africa,True
2015-05-29 00:00:00,Corsica,Burkina Faso,1,0,Friendly,Bastia,France,False
2015-05-30 00:00:00,Bahrain,Oman,0,0,Friendly,Riffa,Bahrain,False
2015-05-30 00:00:00,Bangladesh,Singapore,1,2,Friendly,Dhaka,Bangladesh,False
2015-05-30 00:00:00,Jordan,Lebanon,0,0,Friendly,Irbid,Jordan,False
2015-05-30 00:00:00,Madagascar,Botswana,2,1,COSAFA Cup,Moruleng-Saulspoort,South Africa,True
2015-05-30 00:00:00,Mexico,Guatemala,3,0,Friendly,Tuxtla Gutiérrez,Mexico,False
2015-05-30 00:00:00,Namibia,Mozambique,2,0,COSAFA Cup,Moruleng-Saulspoort,South Africa,True
2015-05-31 00:00:00,El Salvador,Honduras,0,2,Friendly,Washington,United States,True
2015-05-31 00:00:00,Northern Ireland,Qatar,1,1,Friendly,Crewe,England,True
2015-06-02 00:00:00,Bangladesh,Afghanistan,1,1,Friendly,Dhaka,Bangladesh,False
2015-06-02 00:00:00,Cambodia,Laos,1,1,Friendly,Phnom Penh,Cambodia,False
2015-06-03 00:00:00,Panama,Ecuador,1,1,Friendly,Panama City,Panama,False
2015-06-05 00:00:00,Cambodia,Myanmar,1,0,Friendly,Samut Sakhon,Thailand,True
2015-06-05 00:00:00,Curaçao,Trinidad and Tobago,1,0,Friendly,Willemstad,Curaçao,False
2015-06-05 00:00:00,Hungary,Lithuania,4,0,Friendly,Debrecen,Hungary,False
2015-06-05 00:00:00,Jordan,Kuwait,2,2,Friendly,Istanbul,Turkey,True
2015-06-05 00:00:00,Netherlands,United States,3,4,Friendly,Amsterdam,Netherlands,False
2015-06-05 00:00:00,Oman,Syria,1,2,Friendly,Muscat,Oman,False
2015-06-05 00:00:00,Scotland,Qatar,1,0,Friendly,Edinburgh,Scotland,False
2015-06-05 00:00:00,Thailand,Bahrain,1,1,Friendly,Bangkok,Thailand,False
2015-06-06 00:00:00,Andorra,Equatorial Guinea,0,1,Friendly,Sant Julià de Lòria,Andorra,False
2015-06-06 00:00:00,Burkina Faso,Cameroon,2,3,Friendly,Colombes,France,True
2015-06-06 00:00:00,Colombia,Costa Rica,1,0,Friendly,Buenos Aires,Argentina,True
2015-06-06 00:00:00,Ecuador,Panama,4,0,Friendly,Portoviejo,Ecuador,False
2015-06-06 00:00:00,Guinea,Chad,2,1,Friendly,Saint-Leu-la-Forêt,France,True
2015-06-06 00:00:00,Malaysia,Hong Kong,0,0,Friendly,Shah Alam,Malaysia,False
2015-06-06 00:00:00,Niger,Gabon,2,1,Friendly,Niamey,Niger,False
2015-06-06 00:00:00,Paraguay,Honduras,2,2,Friendly,Asunción,Paraguay,False
2015-06-06 00:00:00,Rwanda,Kenya,0,0,Friendly,Kigali,Rwanda,False
2015-06-06 00:00:00,Singapore,Brunei,5,1,Friendly,Jurong West,Singapore,False
2015-06-06 00:00:00,Uruguay,Guatemala,5,1,Friendly,Montevideo,Uruguay,False
2015-06-07 00:00:00,Brazil,Mexico,2,0,Friendly,São Paulo,Brazil,False
2015-06-07 00:00:00,Croatia,Gibraltar,4,0,Friendly,Varaždin,Croatia,False
2015-06-07 00:00:00,Ethiopia,Zambia,0,1,Friendly,Addis Ababa,Ethiopia,False
2015-06-07 00:00:00,France,Belgium,3,4,Friendly,Saint-Denis,France,False
2015-06-07 00:00:00,Republic of Ireland,England,0,0,Friendly,Dublin,Republic of Ireland,False
2015-06-07 00:00:00,Kenya,South Sudan,2,0,Friendly,Kigali,Rwanda,True
2015-06-07 00:00:00,Russia,Belarus,4,2,Friendly,Khimki,Russia,False
2015-06-07 00:00:00,Rwanda,Tanzania,2,0,Friendly,Kigali,Rwanda,False
2015-06-07 00:00:00,Serbia,Azerbaijan,4,1,Friendly,Sankt Pölten,Austria,True
2015-06-08 00:00:00,Denmark,Montenegro,2,1,Friendly,Viborg,Denmark,False
2015-06-08 00:00:00,Egypt,Malawi,2,1,Friendly,Alexandria,Egypt,False
2015-06-08 00:00:00,Ghana,Togo,1,0,Friendly,Accra,Ghana,False
2015-06-08 00:00:00,Malta,Lithuania,2,0,Friendly,Attard,Malta,False
2015-06-08 00:00:00,Norway,Sweden,0,0,Friendly,Oslo,Norway,False
2015-06-08 00:00:00,Turkey,Bulgaria,4,0,Friendly,Istanbul,Turkey,False
2015-06-09 00:00:00,DR Congo,Cameroon,1,1,Friendly,Mons,Belgium,True
2015-06-09 00:00:00,Finland,Estonia,0,2,Friendly,Turku,Finland,False
2015-06-09 00:00:00,Georgia,Ukraine,1,2,Friendly,Linz,Austria,True
2015-06-09 00:00:00,Luxembourg,Moldova,0,0,Friendly,Luxembourg,Luxembourg,False
2015-06-09 00:00:00,Uganda,Gambia,1,1,Friendly,Kampala,Uganda,False
2015-06-10 00:00:00,Brazil,Honduras,1,0,Friendly,Porto Alegre,Brazil,False
2015-06-10 00:00:00,Curaçao,Cuba,0,0,FIFA World Cup qualification,Willemstad,Curaçao,False
2015-06-10 00:00:00,Germany,United States,1,2,Friendly,Cologne,Germany,False
2015-06-10 00:00:00,Switzerland,Liechtenstein,3,0,Friendly,Thun,Switzerland,False
2015-06-11 00:00:00,Afghanistan,Syria,0,6,FIFA World Cup qualification,Mashhad,Iran,True
2015-06-11 00:00:00,Bangladesh,Kyrgyzstan,1,3,FIFA World Cup qualification,Dhaka,Bangladesh,False
2015-06-11 00:00:00,Cambodia,Singapore,0,4,FIFA World Cup qualification,Phnom Penh,Cambodia,False
2015-06-11 00:00:00,Chile,Ecuador,2,0,Copa América,Santiago,Chile,False
2015-06-11 00:00:00,Dominican Republic,Belize,1,2,FIFA World Cup qualification,Santo Domingo,Dominican Republic,False
2015-06-11 00:00:00,Guam,Turkmenistan,1,0,FIFA World Cup qualification,Dededo,Guam,False
2015-06-11 00:00:00,Hong Kong,Bhutan,7,0,FIFA World Cup qualification,Kowloon,Hong Kong,False
2015-06-11 00:00:00,India,Oman,1,2,FIFA World Cup qualification,Bangalore,India,False
2015-06-11 00:00:00,Japan,Iraq,4,0,Kirin Challenge Cup,Yokohama,Japan,False
2015-06-11 00:00:00,South Korea,United Arab Emirates,3,0,Friendly,Kuala Lumpur,Malaysia,True
2015-06-11 00:00:00,Laos,Myanmar,2,2,FIFA World Cup qualification,Vientiane,Laos,False
2015-06-11 00:00:00,Lebanon,Kuwait,0,1,FIFA World Cup qualification,Sidon,Lebanon,False
2015-06-11 00:00:00,Malaysia,Timor-Leste,3,0,FIFA World Cup qualification,Kuala Lumpur,Malaysia,False
2015-06-11 00:00:00,Maldives,Qatar,0,1,FIFA World Cup qualification,Malé,Maldives,False
2015-06-11 00:00:00,Philippines,Bahrain,2,1,FIFA World Cup qualification,Bocaue,Philippines,False
2015-06-11 00:00:00,Saudi Arabia,Palestine,3,2,FIFA World Cup qualification,Dammam,Saudi Arabia,False
