date,home_team,away_team,home_score,away_score,tournament,city,country,neutral
1956-07-05 00:00:00,Madagascar,Réunion,4,2,Friendly,Antananarivo,Madagascar,False
1956-07-08 00:00:00,Argentina,Brazil,0,0,Atlantic Cup,Avellaneda,Argentina,False
1956-07-08 00:00:00,Madagascar,Mauritius,3,3,Friendly,Antananarivo,Madagascar,False
1956-07-15 00:00:00,Hungary,Poland,4,1,Friendly,Budapest,Hungary,False
1956-07-15 00:00:00,Paraguay,Uruguay,2,2,Friendly,Asunción,Paraguay,False
1956-07-22 00:00:00,Poland,German DR,0,2,Friendly,Chorzów,Poland,False
1956-08-03 00:00:00,Belarus,Kyrgyzstan,1,0,Friendly,Moscow,Soviet Union,True
1956-08-03 00:00:00,Estonia,Lithuania,0,1,Friendly,Moscow,Soviet Union,True
1956-08-05 00:00:00,Brazil,Czechoslovakia,0,1,Friendly,Rio de Janeiro,Brazil,False
1956-08-05 00:00:00,Russia,Lithuania,2,0,Friendly,Moscow,Soviet Union,False
1956-08-08 00:00:00,Brazil,Czechoslovakia,4,1,Friendly,São Paulo,Brazil,False
1956-08-09 00:00:00,Russia,Belarus,5,1,Friendly,Moscow,Soviet Union,False
1956-08-09 00:00:00,Yugoslavia,China PR,4,0,Friendly,Belgrade,Yugoslavia,False
1956-08-10 00:00:00,Estonia,Lithuania,0,2,Friendly,Moscow,Soviet Union,True
1956-08-11 00:00:00,Russia,Belarus,4,2,Friendly,Moscow,Soviet Union,False
1956-08-12 00:00:00,Lithuania,Moldova,1,4,Friendly,Moscow,Soviet Union,True
1956-08-12 00:00:00,Uruguay,Czechoslovakia,2,1,Friendly,Montevideo,Uruguay,False
1956-08-15 00:00:00,Paraguay,Argentina,0,1,Copa Chevallier Boutell,Asunción,Paraguay,False
1956-08-19 00:00:00,Argentina,Czechoslovakia,1,0,Friendly,Buenos Aires,Argentina,False
1956-08-26 00:00:00,Chile,Czechoslovakia,3,0,Friendly,Santiago,Chile,False
1956-08-26 00:00:00,South Korea,Taiwan,2,0,AFC Asian Cup qualification,Seoul,South Korea,False
1956-08-26 00:00:00,Norway,Finland,1,1,Nordic Championship,Oslo,Norway,False
1956-08-26 00:00:00,Poland,Bulgaria,1,2,Friendly,Wrocław,Poland,False
1956-09-01 00:00:00,Hong Kong,Israel,2,3,AFC Asian Cup,So Kon Po,Hong Kong,False
1956-09-06 00:00:00,Hong Kong,South Korea,2,2,AFC Asian Cup,So Kon Po,Hong Kong,False
1956-09-08 00:00:00,Israel,South Korea,1,2,AFC Asian Cup,So Kon Po,Hong Kong,True
1956-09-09 00:00:00,Hong Kong,Vietnam Republic,2,2,AFC Asian Cup,So Kon Po,Hong Kong,False
1956-09-09 00:00:00,Yugoslavia,Indonesia,4,2,Friendly,Belgrade,Yugoslavia,False
1956-09-10 00:00:00,Bulgaria,Romania,2,0,Friendly,Sofia,Bulgaria,False
1956-09-12 00:00:00,Croatia,Indonesia,5,2,Friendly,Zagreb,Yugoslavia,False
1956-09-12 00:00:00,Israel,Vietnam Republic,2,1,AFC Asian Cup,So Kon Po,Hong Kong,True
1956-09-12 00:00:00,Singapore,Pakistan,1,1,Friendly,Kallang,Singapore,False
1956-09-15 00:00:00,Germany,Russia,1,2,Friendly,Hanover,Germany,False
1956-09-15 00:00:00,South Korea,Vietnam Republic,5,3,AFC Asian Cup,So Kon Po,Hong Kong,True
1956-09-15 00:00:00,Switzerland,Netherlands,2,3,Friendly,Lausanne,Switzerland,False
1956-09-16 00:00:00,Finland,Denmark,0,4,Nordic Championship,Helsinki,Finland,False
1956-09-16 00:00:00,Norway,Sweden,3,1,Nordic Championship,Oslo,Norway,False
1956-09-16 00:00:00,Yugoslavia,Hungary,1,3,International Cup,Belgrade,Yugoslavia,False
1956-09-17 00:00:00,Hong Kong,South Korea,2,4,Friendly,So Kon Po,Hong Kong,False
1956-09-20 00:00:00,German DR,Indonesia,3,1,Friendly,Karl-Marx-Stadt,German DR,False
1956-09-23 00:00:00,Russia,Hungary,0,1,Friendly,Moscow,Soviet Union,False
1956-09-25 00:00:00,Guyana,Suriname,1,1,Friendly,Georgetown,British Guyana,False
1956-09-28 00:00:00,Guyana,Suriname,2,1,Friendly,Georgetown,British Guyana,False
1956-09-30 00:00:00,Austria,Luxembourg,7,0,FIFA World Cup qualification,Vienna,Austria,False
1956-09-30 00:00:00,Guyana,Suriname,1,2,Friendly,Georgetown,British Guyana,False
1956-09-30 00:00:00,Yugoslavia,Czechoslovakia,1,2,International Cup,Belgrade,Yugoslavia,False
1956-10-03 00:00:00,Republic of Ireland,Denmark,2,1,FIFA World Cup qualification,Dublin,Republic of Ireland,False
1956-10-04 00:00:00,China PR,North Vietnam,5,3,Friendly,Beijing,China PR,False
1956-10-06 00:00:00,Nigeria,Togo,1,1,Friendly,Lagos,Nigeria,False
1956-10-06 00:00:00,Northern Ireland,England,1,1,British Championship,Belfast,Northern Ireland,False
1956-10-07 00:00:00,China PR,North Korea,0,1,Friendly,Beijing,China PR,False
1956-10-07 00:00:00,France,Hungary,1,2,Friendly,Colombes,France,False
1956-10-10 00:00:00,North Korea,North Vietnam,3,0,Friendly,Beijing,China PR,True
1956-10-10 00:00:00,Uruguay,Argentina,1,2,Friendly,Paysandú,Uruguay,False
1956-10-14 00:00:00,Austria,Hungary,0,2,Friendly,Vienna,Austria,False
1956-10-14 00:00:00,Belgium,Netherlands,2,3,Friendly,Antwerp,Belgium,False
1956-10-14 00:00:00,Bulgaria,German DR,3,1,Friendly,Sofia,Bulgaria,False
1956-10-19 00:00:00,Vietnam Republic,Thailand,2,1,Friendly,Saigon,Vietnam Republic,False
1956-10-20 00:00:00,Togo,Ghana,1,1,Friendly,Lomé,Togo,False
1956-10-20 00:00:00,Wales,Scotland,2,2,British Championship,Cardiff,Wales,False
1956-10-21 00:00:00,France,Russia,2,1,Friendly,Colombes,France,False
