date,home_team,away_team,home_score,away_score,tournament,city,country,neutral
2001-04-22 00:00:00,Indonesia,Cambodia,6,0,FIFA World Cup qualification,Jakarta,Indonesia,False
2001-04-22 00:00:00,Ivory Coast,Congo,2,0,FIFA World Cup qualification,Abidjan,Ivory Coast,False
2001-04-22 00:00:00,Liberia,Sudan,2,0,FIFA World Cup qualification,Paynesville,Liberia,False
2001-04-22 00:00:00,Mozambique,Lesotho,1,0,Friendly,Beira,Mozambique,False
2001-04-23 00:00:00,Iraq,Nepal,4,2,FIFA World Cup qualification,Almaty,Kazakhstan,True
2001-04-23 00:00:00,Kazakhstan,Macau,5,0,FIFA World Cup qualification,Almaty,Kazakhstan,False
2001-04-23 00:00:00,Turkmenistan,Jordan,2,0,FIFA World Cup qualification,Tashkent,Uzbekistan,True
2001-04-23 00:00:00,Uzbekistan,Taiwan,7,0,FIFA World Cup qualification,Tashkent,Uzbekistan,False
2001-04-24 00:00:00,Belize,Nicaragua,2,0,Friendly,Belize City,Belize,False
2001-04-24 00:00:00,Chile,Uruguay,0,1,FIFA World Cup qualification,Santiago,Chile,False
2001-04-24 00:00:00,Ecuador,Paraguay,2,1,FIFA World Cup qualification,Quito,Ecuador,False
2001-04-24 00:00:00,Egypt,Canada,3,0,Friendly,Cairo,Egypt,False
2001-04-24 00:00:00,Georgia,Israel,3,2,Friendly,Tbilisi,Georgia,False
2001-04-24 00:00:00,Iran,South Korea,0,1,Friendly,Cairo,Egypt,True
2001-04-24 00:00:00,Panama,Haiti,2,0,Friendly,Panama City,Panama,False
2001-04-24 00:00:00,Venezuela,Colombia,2,2,FIFA World Cup qualification,San Cristóbal,Venezuela,False
2001-04-25 00:00:00,Austria,Liechtenstein,2,0,FIFA World Cup qualification,Innsbruck,Austria,False
2001-04-25 00:00:00,Bolivia,Argentina,3,3,FIFA World Cup qualification,La Paz,Bolivia,False
2001-04-25 00:00:00,Brazil,Peru,1,1,FIFA World Cup qualification,São Paulo,Brazil,False
2001-04-25 00:00:00,Croatia,Greece,2,2,Friendly,Varaždin,Croatia,False
2001-04-25 00:00:00,Czech Republic,Belgium,1,1,Friendly,Prague,Czech Republic,False
2001-04-25 00:00:00,Denmark,Slovenia,3,0,Friendly,Copenhagen,Denmark,False
2001-04-25 00:00:00,France,Portugal,4,0,Friendly,Saint-Denis,France,False
2001-04-25 00:00:00,Hungary,Finland,0,0,Friendly,Budapest,Hungary,False
2001-04-25 00:00:00,Republic of Ireland,Andorra,3,1,FIFA World Cup qualification,Dublin,Republic of Ireland,False
2001-04-25 00:00:00,Italy,South Africa,1,0,Friendly,Perugia,Italy,False
2001-04-25 00:00:00,Jamaica,Honduras,1,1,FIFA World Cup qualification,Kingston,Jamaica,False
2001-04-25 00:00:00,Kazakhstan,Iraq,1,1,FIFA World Cup qualification,Almaty,Kazakhstan,False
2001-04-25 00:00:00,Latvia,San Marino,1,1,FIFA World Cup qualification,Riga,Latvia,False
2001-04-25 00:00:00,Lebanon,Philippines,3,0,Friendly,Tripoli,Lebanon,False
2001-04-25 00:00:00,Macau,Nepal,1,6,FIFA World Cup qualification,Almaty,Kazakhstan,True
2001-04-25 00:00:00,Malta,Iceland,1,4,FIFA World Cup qualification,Attard,Malta,False
2001-04-25 00:00:00,Moldova,Estonia,0,0,Friendly,Chișinău,Moldova,False
2001-04-25 00:00:00,Netherlands,Cyprus,4,0,FIFA World Cup qualification,Eindhoven,Netherlands,False
2001-04-25 00:00:00,Norway,Bulgaria,2,1,Friendly,Oslo,Norway,False
2001-04-25 00:00:00,Poland,Scotland,1,1,Friendly,Bydgoszcz,Poland,False
2001-04-25 00:00:00,Romania,Slovakia,0,0,Friendly,Ploiești,Romania,False
2001-04-25 00:00:00,Serbia,Russia,0,1,FIFA World Cup qualification,Belgrade,Yugoslavia,True
