date,home_team,away_team,home_score,away_score,tournament,city,country,neutral
1985-08-04 00:00:00,Kenya,Algeria,0,0,African Cup of Nations qualification,Nairobi,Kenya,False
1985-08-06 00:00:00,Thailand,Hong Kong,1,2,Friendly,Bangkok,Thailand,False
1985-08-07 00:00:00,Russia,Romania,2,0,Friendly,Moscow,Soviet Union,False
1985-08-10 00:00:00,Nigeria,Zambia,0,0,African Cup of Nations qualification,Lagos,Nigeria,False
1985-08-11 00:00:00,Costa Rica,Honduras,2,2,CONCACAF Championship,San José,Costa Rica,False
1985-08-11 00:00:00,Guinea,Mali,1,1,Friendly,Conakry,Guinea,False
1985-08-11 00:00:00,Japan,Hong Kong,3,0,FIFA World Cup qualification,Kobe,Japan,False
1985-08-12 00:00:00,Indonesia,Thailand,1,2,Indonesia Tournament,Jakarta,Indonesia,False
1985-08-14 00:00:00,Norway,German DR,0,1,Friendly,Oslo,Norway,False
1985-08-17 00:00:00,Canada,Costa Rica,1,1,CONCACAF Championship,Toronto,Canada,False
1985-08-18 00:00:00,Ivory Coast,Ghana,2,0,African Cup of Nations qualification,Abidjan,Ivory Coast,False
1985-08-18 00:00:00,Zambia,Nigeria,1,0,African Cup of Nations qualification,Lusaka,Zambia,False
1985-08-18 00:00:00,Zimbabwe,Senegal,1,0,African Cup of Nations qualification,Harare,Zimbabwe,False
1985-08-21 00:00:00,France,Uruguay,2,0,CONMEBOL–UEFA Cup of Champions,Paris,France,False
1985-08-21 00:00:00,Sweden,Poland,1,0,Friendly,Malmö,Sweden,False
1985-08-23 00:00:00,Libya,Mozambique,2,1,African Cup of Nations qualification,Benghazi,Libya,False
1985-08-25 00:00:00,Honduras,Canada,0,1,CONCACAF Championship,Tegucigalpa,Honduras,False
1985-08-25 00:00:00,Mali,Guinea,1,1,Friendly,Bamako,Mali,False
1985-08-25 00:00:00,Morocco,DR Congo,1,0,African Cup of Nations qualification,Casablanca,Morocco,False
1985-08-27 00:00:00,Mexico,Bulgaria,1,1,Friendly,Los Angeles,United States,True
1985-08-28 00:00:00,Romania,Finland,2,0,FIFA World Cup qualification,Timişoara,Romania,False
1985-08-28 00:00:00,Russia,Germany,1,0,Friendly,Moscow,Soviet Union,False
1985-08-28 00:00:00,Switzerland,Turkey,0,0,Friendly,St. Gallen,Switzerland,False
1985-09-01 00:00:00,Costa Rica,Canada,0,0,CONCACAF Championship,San José,Costa Rica,False
1985-09-01 00:00:00,Ghana,Ivory Coast,0,0,African Cup of Nations qualification,Kumasi,Ghana,False
1985-09-01 00:00:00,Senegal,Zimbabwe,3,0,African Cup of Nations qualification,Dakar,Senegal,False
1985-09-03 00:00:00,Israel,Taiwan,6,0,FIFA World Cup qualification,Ramat-Gan,Israel,False
1985-09-04 00:00:00,Czechoslovakia,Poland,3,1,Friendly,Brno,Czechoslovakia,False
1985-09-04 00:00:00,Netherlands,Bulgaria,1,0,Friendly,Heerenveen,Netherlands,False
1985-09-06 00:00:00,Bahrain,Syria,1,1,FIFA World Cup qualification,Riffa,Bahrain,False
1985-09-08 00:00:00,DR Congo,Morocco,0,0,African Cup of Nations qualification,Lubumbashi,Zaïre,False
1985-09-08 00:00:00,Honduras,Costa Rica,3,1,CONCACAF Championship,Tegucigalpa,Honduras,False
1985-09-10 00:00:00,Norway,Egypt,3,0,Friendly,Oslo,Norway,False
1985-09-10 00:00:00,Wales,Scotland,1,1,FIFA World Cup qualification,Cardiff,Wales,False
1985-09-11 00:00:00,Denmark,Sweden,0,3,Friendly,Copenhagen,Denmark,False
1985-09-11 00:00:00,England,Romania,1,1,FIFA World Cup qualification,London,England,False
1985-09-11 00:00:00,German DR,France,2,0,FIFA World Cup qualification,Leipzig,German DR,False
1985-09-11 00:00:00,Poland,Belgium,0,0,FIFA World Cup qualification,Chorzów,Poland,False
1985-09-11 00:00:00,Switzerland,Republic of Ireland,0,0,FIFA World Cup qualification,Berne,Switzerland,False
1985-09-11 00:00:00,Turkey,Northern Ireland,0,0,FIFA World Cup qualification,İzmir,Turkey,False
1985-09-14 00:00:00,Canada,Honduras,2,1,CONCACAF Championship,St. John's,Canada,False
1985-09-15 00:00:00,Cameroon,Saudi Arabia,4,1,Friendly,Yaoundé,Cameroon,False
1985-09-15 00:00:00,Mozambique,Libya,2,1,African Cup of Nations qualification,Maputo,Mozambique,False
1985-09-16 00:00:00,Papua New Guinea,China PR,1,4,Friendly,Lae,Papua New Guinea,False
1985-09-19 00:00:00,Papua New Guinea,China PR,1,1,Friendly,Port Moresby,Papua New Guinea,False
1985-09-20 00:00:00,Mexico,Peru,0,0,Friendly,Los Angeles,United States,True
1985-09-20 00:00:00,Syria,Bahrain,1,0,FIFA World Cup qualification,Damascus,Syria,False
1985-09-20 00:00:00,United Arab Emirates,Iraq,2,3,FIFA World Cup qualification,Dubai,United Arab Emirates,False
1985-09-21 00:00:00,New Zealand,Australia,0,0,FIFA World Cup qualification,Auckland,New Zealand,False
1985-09-22 00:00:00,Hong Kong,Japan,1,2,FIFA World Cup qualification,Siu Sai Wan,Hong Kong,False
1985-09-22 00:00:00,Mexico,Peru,1,0,Friendly,San Jose,United States,True
