date,home_team,away_team,home_score,away_score,tournament,city,country,neutral
1997-09-14 00:00:00,El Salvador,Canada,4,1,FIFA World Cup qualification,San Salvador,El Salvador,False
1997-09-14 00:00:00,Indonesia,Tanzania,3,1,Friendly,Bandung,Indonesia,False
1997-09-14 00:00:00,Jamaica,Costa Rica,1,0,FIFA World Cup qualification,Kingston,Jamaica,False
1997-09-14 00:00:00,Saudi Arabia,Kuwait,2,1,FIFA World Cup qualification,Taif,Saudi Arabia,False
1997-09-19 00:00:00,Iran,Saudi Arabia,1,1,FIFA World Cup qualification,Tehran,Iran,False
1997-09-19 00:00:00,Qatar,Kuwait,0,2,FIFA World Cup qualification,Doha,Qatar,False
1997-09-19 00:00:00,United Arab Emirates,Japan,0,0,FIFA World Cup qualification,Abu Dhabi,United Arab Emirates,False
1997-09-20 00:00:00,Kazakhstan,Uzbekistan,1,1,FIFA World Cup qualification,Almaty,Kazakhstan,False
1997-09-20 00:00:00,Libya,Bahrain,2,1,Friendly,Tripoli,Libya,False
1997-09-21 00:00:00,Indonesia,New Zealand,5,0,Friendly,Jakarta,Indonesia,False
1997-09-24 00:00:00,El Salvador,Guatemala,0,1,Friendly,Los Angeles,United States,True
1997-09-24 00:00:00,Malta,Czech Republic,0,1,FIFA World Cup qualification,Attard,Malta,False
1997-09-24 00:00:00,Moldova,Georgia,0,1,FIFA World Cup qualification,Chișinău,Moldova,False
1997-09-24 00:00:00,Poland,Lithuania,2,0,Friendly,Olsztyn,Poland,False
1997-09-24 00:00:00,Slovakia,Spain,1,2,FIFA World Cup qualification,Bratislava,Slovakia,False
1997-09-25 00:00:00,Bahrain,Chad,1,1,Friendly,Tripoli,Libya,True
1997-09-25 00:00:00,Libya,Jordan,1,1,Friendly,Tripoli,Libya,False
1997-09-25 00:00:00,Saudi Arabia,Mali,5,1,Friendly,Riyadh,Saudi Arabia,False
1997-09-26 00:00:00,Kuwait,Iran,1,1,FIFA World Cup qualification,Kuwait City,Kuwait,False
1997-09-26 00:00:00,Qatar,China PR,1,1,FIFA World Cup qualification,Doha,Qatar,False
1997-09-27 00:00:00,Tanzania,Zambia,0,0,Friendly,Dar es Salaam,Tanzania,False
1997-09-27 00:00:00,Uzbekistan,United Arab Emirates,2,3,FIFA World Cup qualification,Tashkent,Uzbekistan,False
1997-09-28 00:00:00,Algeria,Kenya,0,1,Friendly,Dar es Salaam,Tanzania,True
1997-09-28 00:00:00,Japan,South Korea,1,2,FIFA World Cup qualification,Tokyo,Japan,False
1997-09-30 00:00:00,Algeria,Zambia,0,1,Friendly,Dar es Salaam,Tanzania,True
1997-10-01 00:00:00,Tanzania,Kenya,0,1,Friendly,Dar es Salaam,Tanzania,False
1997-10-03 00:00:00,China PR,Saudi Arabia,1,0,FIFA World Cup qualification,Dalian,China PR,False
1997-10-03 00:00:00,Iran,Qatar,3,0,FIFA World Cup qualification,Tehran,Iran,False
1997-10-03 00:00:00,Kenya,Zambia,0,0,Friendly,Dar es Salaam,Tanzania,True
1997-10-03 00:00:00,United States,Jamaica,1,1,FIFA World Cup qualification,Washington,United States,False
1997-10-04 00:00:00,Kazakhstan,Japan,1,1,FIFA World Cup qualification,Almaty,Kazakhstan,False
1997-10-04 00:00:00,South Korea,United Arab Emirates,3,0,FIFA World Cup qualification,Seoul,South Korea,False
1997-10-04 00:00:00,Saint Kitts and Nevis,Cuba,0,2,Gold Cup qualification,Basseterre,Saint Kitts and Nevis,False
1997-10-04 00:00:00,Tanzania,Algeria,0,1,Friendly,Dar es Salaam,Tanzania,False
1997-10-05 00:00:00,Mexico,El Salvador,5,0,FIFA World Cup qualification,Mexico City,Mexico,False
1997-10-07 00:00:00,Moldova,Poland,0,3,FIFA World Cup qualification,Chișinău,Moldova,False
1997-10-08 00:00:00,Norway,Colombia,0,0,Friendly,Oslo,Norway,False
1997-10-09 00:00:00,Brazil,Morocco,2,0,Friendly,Belém,Brazil,False
1997-10-10 00:00:00,Kuwait,China PR,1,2,FIFA World Cup qualification,Kuwait City,Kuwait,False
1997-10-11 00:00:00,Armenia,Ukraine,0,2,FIFA World Cup qualification,Yerevan,Armenia,False
1997-10-11 00:00:00,Austria,Belarus,4,0,FIFA World Cup qualification,Vienna,Austria,False
1997-10-11 00:00:00,Belgium,Wales,3,2,FIFA World Cup qualification,Brussels,Belgium,False
1997-10-11 00:00:00,Cyprus,Luxembourg,2,0,FIFA World Cup qualification,Limassol,Cyprus,False
1997-10-11 00:00:00,Czech Republic,Slovakia,3,0,FIFA World Cup qualification,Prague,Czech Republic,False
1997-10-11 00:00:00,Finland,Hungary,1,1,FIFA World Cup qualification,Helsinki,Finland,False
1997-10-11 00:00:00,France,South Africa,2,1,Friendly,Lens,France,False
1997-10-11 00:00:00,Georgia,Poland,3,0,FIFA World Cup qualification,Tbilisi,Georgia,False
1997-10-11 00:00:00,Germany,Albania,4,3,FIFA World Cup qualification,Hanover,Germany,False
1997-10-11 00:00:00,Greece,Denmark,0,0,FIFA World Cup qualification,Athens,Greece,False
1997-10-11 00:00:00,Iceland,Liechtenstein,4,0,FIFA World Cup qualification,Reykjavík,Iceland,False
1997-10-11 00:00:00,Republic of Ireland,Romania,1,1,FIFA World Cup qualification,Dublin,Republic of Ireland,False
1997-10-11 00:00:00,Italy,England,0,0,FIFA World Cup qualification,Rome,Italy,False
1997-10-11 00:00:00,Kazakhstan,South Korea,1,1,FIFA World Cup qualification,Almaty,Kazakhstan,False
1997-10-11 00:00:00,North Macedonia,Lithuania,1,2,FIFA World Cup qualification,Skopje,North Macedonia,False
1997-10-11 00:00:00,Malta,Serbia,0,5,FIFA World Cup qualification,Attard,Malta,False
1997-10-11 00:00:00,Netherlands,Turkey,0,0,FIFA World Cup qualification,Amsterdam,Netherlands,False
1997-10-11 00:00:00,Portugal,Northern Ireland,1,0,FIFA World Cup qualification,Lisbon,Portugal,False
1997-10-11 00:00:00,Russia,Bulgaria,4,2,FIFA World Cup qualification,Moscow,Russia,False
1997-10-11 00:00:00,Saudi Arabia,Qatar,1,0,FIFA World Cup qualification,Taif,Saudi Arabia,False
1997-10-11 00:00:00,Scotland,Latvia,2,0,FIFA World Cup qualification,Glasgow,Scotland,False
1997-10-11 00:00:00,Slovenia,Croatia,1,3,FIFA World Cup qualification,Ljubljana,Slovenia,False
1997-10-11 00:00:00,Spain,Faroe Islands,3,1,FIFA World Cup qualification,Gijón,Spain,False
1997-10-11 00:00:00,Sweden,Estonia,1,0,FIFA World Cup qualification,Solna,Sweden,False
1997-10-11 00:00:00,Switzerland,Azerbaijan,5,0,FIFA World Cup qualification,Zürich,Switzerland,False
1997-10-11 00:00:00,Uzbekistan,Japan,1,1,FIFA World Cup qualification,Tashkent,Uzbekistan,False
1997-10-12 00:00:00,Argentina,Uruguay,0,0,FIFA World Cup qualification,Buenos Aires,Argentina,False
