date,home_team,away_team,home_score,away_score,tournament,city,country,neutral
2006-11-23 00:00:00,Sápmi,Monaco,14,0,Viva World Cup,Hyères,France,True
2006-11-23 00:00:00,Kyrgyzstan,Crimea,2,3,ELF Cup,Lefkoşa,Northern Cyprus,True
2006-11-23 00:00:00,Northern Cyprus,Zanzibar,5,0,ELF Cup,Lefkoşa,Northern Cyprus,False
2006-11-24 00:00:00,Dominican Republic,Guadeloupe,0,3,CFU Caribbean Cup qualification,Georgetown,Guyana,True
2006-11-24 00:00:00,Guyana,Antigua and Barbuda,6,0,CFU Caribbean Cup qualification,Georgetown,Guyana,False
2006-11-24 00:00:00,Sápmi,Monaco,21,1,Viva World Cup,Hyères,France,True
2006-11-25 00:00:00,Ethiopia,Tanzania,1,2,CECAFA Cup,Addis Ababa,Ethiopia,False
2006-11-25 00:00:00,Kyrgyzstan,Zanzibar,2,2,ELF Cup,Lefkoşa,Northern Cyprus,True
2006-11-25 00:00:00,Northern Cyprus,Crimea,3,1,ELF Cup,Lefkoşa,Northern Cyprus,False
2006-11-26 00:00:00,Burundi,Zambia,3,2,CECAFA Cup,Addis Ababa,Ethiopia,True
2006-11-26 00:00:00,Djibouti,Malawi,0,3,CECAFA Cup,Addis Ababa,Ethiopia,True
2006-11-26 00:00:00,Dominican Republic,Antigua and Barbuda,2,0,CFU Caribbean Cup qualification,Georgetown,Guyana,True
2006-11-26 00:00:00,Guyana,Guadeloupe,3,2,CFU Caribbean Cup qualification,Georgetown,Guyana,False
2006-11-27 00:00:00,Somalia,Rwanda,0,3,CECAFA Cup,Addis Ababa,Ethiopia,True
2006-11-27 00:00:00,Sudan,Uganda,1,2,CECAFA Cup,Addis Ababa,Ethiopia,True
2006-11-28 00:00:00,Antigua and Barbuda,Guadeloupe,1,3,CFU Caribbean Cup qualification,Georgetown,Guyana,True
2006-11-28 00:00:00,Ethiopia,Djibouti,4,0,CECAFA Cup,Addis Ababa,Ethiopia,False
2006-11-28 00:00:00,Guyana,Dominican Republic,4,0,CFU Caribbean Cup qualification,Georgetown,Guyana,False
2006-11-28 00:00:00,Malawi,Tanzania,1,2,CECAFA Cup,Addis Ababa,Ethiopia,True
2006-11-29 00:00:00,El Salvador,Panama,0,0,Friendly,San Salvador,El Salvador,False
2006-11-29 00:00:00,Zanzibar,Burundi,0,0,CECAFA Cup,Addis Ababa,Ethiopia,True
2006-11-30 00:00:00,Rwanda,Uganda,0,1,CECAFA Cup,Addis Ababa,Ethiopia,True
2006-11-30 00:00:00,Somalia,Sudan,0,3,CECAFA Cup,Addis Ababa,Ethiopia,True
2006-12-01 00:00:00,Ethiopia,Malawi,1,0,CECAFA Cup,Addis Ababa,Ethiopia,False
