date,home_team,away_team,home_score,away_score,tournament,city,country,neutral
1979-05-29 00:00:00,Republic of Ireland,Argentina,0,0,Friendly,Dublin,Republic of Ireland,False
1979-05-31 00:00:00,Brazil,Uruguay,5,1,Friendly,Rio de Janeiro,Brazil,False
1979-05-31 00:00:00,Japan,Indonesia,4,0,Kirin Cup,Tokyo,Japan,False
1979-06-01 00:00:00,German DR,Romania,1,0,Friendly,Berlin,German DR,False
1979-06-02 00:00:00,Malta,Wales,0,2,UEFA Euro qualification,Gżira,Malta,False
1979-06-02 00:00:00,Scotland,Argentina,1,3,Friendly,Glasgow,Scotland,False
1979-06-03 00:00:00,Benin,Togo,0,1,Friendly,Cotonou,Benin,False
1979-06-03 00:00:00,Jamaica,Saint Kitts and Nevis,2,1,CFU Caribbean Cup qualification,Kingston,Jamaica,False
1979-06-06 00:00:00,Bulgaria,England,0,3,UEFA Euro qualification,Sofia,Bulgaria,False
1979-06-06 00:00:00,Denmark,Northern Ireland,4,0,UEFA Euro qualification,Copenhagen,Denmark,False
1979-06-07 00:00:00,Norway,Scotland,0,4,UEFA Euro qualification,Oslo,Norway,False
1979-06-07 00:00:00,Sweden,Luxembourg,3,0,UEFA Euro qualification,Malmö,Sweden,False
1979-06-09 00:00:00,Iceland,Switzerland,1,2,UEFA Euro qualification,Reykjavík,Iceland,False
1979-06-09 00:00:00,Martinique,Saint Vincent and the Grenadines,0,1,CFU Caribbean Cup qualification,Fort-de-France,Martinique,False
1979-06-10 00:00:00,Sweden,England,0,0,Friendly,Solna,Sweden,False
1979-06-13 00:00:00,Austria,England,4,3,Friendly,Vienna,Austria,False
1979-06-13 00:00:00,Chile,Ecuador,0,0,Friendly,Santiago,Chile,False
1979-06-13 00:00:00,New Zealand,Australia,1,0,Friendly,Auckland,New Zealand,False
1979-06-13 00:00:00,Yugoslavia,Italy,4,1,Friendly,Zagreb,Yugoslavia,False
1979-06-16 00:00:00,South Korea,Japan,4,1,Friendly,Seoul,South Korea,False
1979-06-17 00:00:00,Saint Kitts and Nevis,Jamaica,1,2,CFU Caribbean Cup qualification,Basseterre,Saint Kitts and Nevis,False
1979-06-21 00:00:00,Ecuador,Chile,2,1,Friendly,Guayaquil,Ecuador,False
1979-06-24 00:00:00,Ghana,Liberia,0,0,Friendly,Accra,Ghana,False
1979-06-24 00:00:00,Malawi,Lesotho,1,0,Friendly,Lilongwe,Malawi,False
1979-06-24 00:00:00,Zambia,DR Congo,4,1,Friendly,Lusaka,Zambia,False
1979-06-26 00:00:00,Malawi,Lesotho,1,2,Friendly,Blantyre,Malawi,False
1979-06-27 00:00:00,Denmark,Russia,1,2,Friendly,Copenhagen,Denmark,False
1979-06-28 00:00:00,Sweden,Norway,2,0,Nordic Championship,Gothenburg,Sweden,False
1979-06-29 00:00:00,Malaysia,Japan,1,1,Merdeka Tournament,Kuala Lumpur,Malaysia,False
1979-06-29 00:00:00,Fiji,New Zealand,0,6,Friendly,Suva,Fiji,False
1979-06-29 00:00:00,Japan,Thailand,2,0,Merdeka Tournament,Kuala Lumpur,Malaysia,True
1979-06-29 00:00:00,Malaysia,Myanmar,4,1,Merdeka Tournament,Kuala Lumpur,Malaysia,False
1979-06-29 00:00:00,Sudan,Ivory Coast,2,0,African Cup of Nations qualification,Khartoum,Sudan,False
1979-06-30 00:00:00,DR Congo,Zambia,1,2,Friendly,Lubumbashi,Zaïre,False
1979-06-30 00:00:00,Indonesia,Singapore,0,0,Merdeka Tournament,Kuala Lumpur,Malaysia,True
1979-07-01 00:00:00,Malaysia,Thailand,4,2,Merdeka Tournament,Kuala Lumpur,Malaysia,False
1979-07-01 00:00:00,Myanmar,Japan,0,1,Merdeka Tournament,Kuala Lumpur,Malaysia,True
