date,home_team,away_team,home_score,away_score,tournament,city,country,neutral
1926-09-19 00:00:00,Austria,Hungary,2,3,Friendly,Vienna,Austria,False
1926-09-19 00:00:00,Latvia,Estonia,0,1,Friendly,Riga,Latvia,False
1926-09-19 00:00:00,Norway,Denmark,2,2,Nordic Championship,Oslo,Norway,False
1926-09-28 00:00:00,Czechoslovakia,Austria,1,2,Friendly,Prague,Czechoslovakia,False
1926-10-03 00:00:00,Denmark,Sweden,2,0,Nordic Championship,Copenhagen,Denmark,False
1926-10-03 00:00:00,Sweden,Poland,3,1,Friendly,Stockholm,Sweden,False
1926-10-03 00:00:00,Yugoslavia,Romania,2,3,Friendly,Zagreb,Yugoslavia,False
1926-10-10 00:00:00,Austria,Switzerland,7,1,Friendly,Vienna,Austria,False
1926-10-12 00:00:00,Chile,Bolivia,7,1,Copa América,Santiago,Chile,False
1926-10-16 00:00:00,Argentina,Bolivia,5,0,Copa América,Santiago,Chile,True
1926-10-17 00:00:00,Chile,Uruguay,1,3,Copa América,Santiago,Chile,False
1926-10-20 00:00:00,Argentina,Paraguay,8,0,Copa América,Santiago,Chile,True
1926-10-20 00:00:00,England,Northern Ireland,3,3,British Championship,Liverpool,England,False
1926-10-23 00:00:00,Bolivia,Paraguay,1,6,Copa América,Santiago,Chile,True
1926-10-24 00:00:00,Argentina,Uruguay,0,2,Copa América,Santiago,Chile,True
1926-10-28 00:00:00,Bolivia,Uruguay,0,6,Copa América,Santiago,Chile,True
1926-10-28 00:00:00,Czechoslovakia,Italy,3,1,Friendly,Prague,Czechoslovakia,False
1926-10-30 00:00:00,Scotland,Wales,3,0,British Championship,Glasgow,Scotland,False
1926-10-31 00:00:00,Chile,Argentina,1,1,Copa América,Santiago,Chile,False
1926-10-31 00:00:00,Netherlands,Germany,2,3,Friendly,Amsterdam,Netherlands,False
1926-11-01 00:00:00,Paraguay,Uruguay,1,6,Copa América,Santiago,Chile,True
1926-11-03 00:00:00,Chile,Paraguay,5,1,Copa América,Santiago,Chile,False
1926-11-06 00:00:00,United States,Canada,6,2,Friendly,New York,United States,False
1926-11-07 00:00:00,Austria,Sweden,3,1,Friendly,Vienna,Austria,False
1926-11-14 00:00:00,Hungary,Sweden,3,1,Friendly,Budapest,Hungary,False
1926-11-20 00:00:00,Jamaica,Haiti,6,0,Friendly,Kingston,Jamaica,False
1926-12-12 00:00:00,Germany,Switzerland,2,3,Friendly,Munich,Germany,False
1926-12-19 00:00:00,Spain,Hungary,4,2,Friendly,Vigo,Spain,False
1926-12-26 00:00:00,Portugal,Hungary,3,3,Friendly,Porto,Portugal,False
1927-01-02 00:00:00,Belgium,Czechoslovakia,2,3,Friendly,Liège,Belgium,False
1927-01-30 00:00:00,Switzerland,Italy,1,5,Friendly,Geneva,Switzerland,False
1927-02-12 00:00:00,Wales,England,3,3,British Championship,Wrexham,Wales,False
1927-02-20 00:00:00,Italy,Czechoslovakia,2,2,Friendly,Milan,Italy,False
1927-02-26 00:00:00,Northern Ireland,Scotland,0,2,British Championship,Belfast,Northern Ireland,False
1927-03-13 00:00:00,Belgium,Netherlands,2,0,Friendly,Antwerp,Belgium,False
1927-03-16 00:00:00,Portugal,France,4,0,Friendly,Lisbon,Portugal,False
1927-03-20 00:00:00,Austria,Czechoslovakia,1,2,Friendly,Vienna,Austria,False
1927-04-02 00:00:00,Scotland,England,1,2,British Championship,Glasgow,Scotland,False
1927-04-03 00:00:00,Belgium,Sweden,2,1,Friendly,Forest,Belgium,False
1927-04-09 00:00:00,Wales,Northern Ireland,2,2,British Championship,Cardiff,Wales,False
1927-04-10 00:00:00,Austria,Hungary,6,0,Friendly,Vienna,Austria,False
1927-04-10 00:00:00,Hungary,Yugoslavia,3,0,Friendly,Budapest,Hungary,False
1927-04-17 00:00:00,Italy,Portugal,3,1,Friendly,Turin,Italy,False
1927-04-17 00:00:00,Spain,Switzerland,1,0,Friendly,Santander,Spain,False
1927-04-24 00:00:00,Czechoslovakia,Hungary,4,1,Friendly,Prague,Czechoslovakia,False
1927-04-24 00:00:00,France,Italy,3,3,Friendly,Colombes,France,False
1927-05-01 00:00:00,Netherlands,Belgium,3,2,Friendly,Amsterdam,Netherlands,False
1927-05-10 00:00:00,Romania,Yugoslavia,0,3,Friendly,Bucharest,Romania,False
1927-05-11 00:00:00,Belgium,England,1,9,Friendly,Brussels,Belgium,False
1927-05-15 00:00:00,Bulgaria,Yugoslavia,0,2,Friendly,Sofia,Bulgaria,False
1927-05-21 00:00:00,Luxembourg,England,2,5,Friendly,Esch-sur-Alzette,Luxembourg,False
1927-05-22 00:00:00,Austria,Belgium,4,1,Friendly,Vienna,Austria,False
1927-05-22 00:00:00,France,Spain,1,4,Friendly,Colombes,France,False
1927-05-26 00:00:00,Czechoslovakia,Belgium,4,0,Friendly,Prague,Czechoslovakia,False
